person_name,person_nat
Amy Grant,US
Amy Madigan,US
An Vrombaut,
Ana Belén,ES
Ana Ciontea,RO
Ana Dumitrescu,FR
Ana Dumitrescu,RO
Ana Fernández,ES
Ana Goya,ES
Ana Gracia,ES
Ana Guardione,ES
Ana L. Martín,ES
Ana Labordeta,ES
Ana Messuti,AR
Ana Murugarren,ES
Ana Obregón,ES
Ana Padrão,PT
Ana Pérez-Lorente,ES
Ana Ramón Rubio,ES
Ana Schulz,ES
Ana Schulz,DE
Ana Torrent,ES
Ana Victoria Pérez,ES
Ana Wagener,ES
Anaëlle Godard,FR
Anah Ruddin,GB
Anaís Berdié,ES
Anais Straumann-Lévy,FR
Anais Straumann-Lévy,
Anaïs Volpé,FR
Anaïs Volpé,
Ana-Maria Avram,RO
Anas Khalaf,SY
Anas Khalaf,
Anastasia Hille,GB
Anastasia Mikova,FR
Anatol Regnier,DE
Anatol Schuster,DE
Anca Damian,RO
Anca Miruna Lăzărescu,RO
Anca Sigartău,RO
Anda Caropol,RO
Anđela Rostuhar,HR
Anđelo Jurkas,HR
Ander Iriarte,ES
Ander Landaburu,ES
Anders Morgenthaler,
Andi,DE
Andie MacDowell,US
Andoni Ferreño,ES
Andor Lukáts,HU
András Ambrus,HU
András Ambrus,RO
András B. Vágvölgyi,HU
András Bálint,HU
András Balogh,HU
András Csapó,HU
András Demeter,RO
András Demeter,HU
András Dési,HU
András Faragó,HU
András Fésős,HU
András Frigyesi,HU
András Galler,HU
András Hatházi,RO
András Hatházi,HU
András Jeles,HU
András Kécza,HU
András Keller,HU
András Kern,HU
András Koltai,HU
András Péterffy,HU
András Salamon,HU
András Schlanger,HU
András Sólyom,HU
András Stark,HU
András Stohl,HU
András Surányi,HU
András Szirtes,HU
András Vetró,HU
András Vetró,RO
André Bonzel,FR
André Bonzel,
André Chazel,FR
André Comte-Sponville,FR
André Dussollier,FR
André Erkau,DE
André Grégorcic,FR
André Hennicke,DE
Andre Hörmann,DE
André Jung,DE
André Jung,LU
André Marcon,FR
André Oumansky,FR
André Øvredal,NO
André Penvern,FR
André Robillard,FR
André Schäfer,DE
André Singer,GB
André Stolz,ZA
André Szardenings,DE
André Téchiné,FR
André Wilms,FR
Andrea Adriatico,IT
Andrea Bacci,FR
Andrea Barone,
Andrea Barrionuevo,ES
Andréa Bescond,FR
Andrea Bettinetti,IT
Andrea Block,FR
Andrea Bocelli,IT
Andrea Borrelli,IT
Andrea Brusa,IT
Andrea Bruschi,IT
Andrea Coombs,GB
