YEAR,AWARD,"CATEGORY
(EN SHORT)","FILM
(ORIGINAL TITLE)",F/D/A,RESULT,FILM ID
2020,CDC,BF,La Belle Époque,F,N,FR2019_181
2020,CDC,BF,Grâce à Dieu,F,N,FR2019_036
2020,CDC,BF,Hors normes,F,N,FR2019_174
2020,CDC,BF,J'accuse,F,N,FR2019_187
2020,CDC,BDF,M,D,A,FR2019_057
2020,CDC,BDF,"68, mon père et les clous",D,N,FR2019_083
2020,CDC,BDF,La Cordillère des songes,D,N,FR2019_178
2020,CDC,BDF,Lourdes,D,N,FR2019_086
2020,CDC,BAF,J'ai perdu mon corps,A,A,FR2019_182
2020,CDC,BAF,La Fameuse Invasion des ours en Sicile,A,N,FR2019_167
2020,CDC,BAF,Les Hirondelles de Kaboul,A,N,FR2019_147
2019,CDC,BF,Jusqu'à la garde,F,A,FR2018_018
2019,CDC,BF,La Douleur,F,N,FR2018_011
2019,CDC,BF,Les Frères Sisters,F,N,FR2018_142
2019,CDC,BF,Le Grand Bain,F,N,FR2018_163
2019,CDC,BF,Guy,F,N,FR2018_134
2019,CDC,BF,Pupille,F,N,FR2018_182
2019,CDC,BDF,"Ni juge, ni soumise",D,A,FR2018_019
2019,CDC,BDF,America,D,N,FR2018_045
2019,CDC,BDF,Le Grand Bal,D,N,FR2018_165
2019,CDC,BAF,Dilili à Paris,A,A,FR2018_154
2019,CDC,BAF,Astérix : Le Secret de la potion magique,A,N,FR2018_181
2019,CDC,BAF,Pachamama,A,N,FR2018_188
2018,CDC,BF,Au revoir là-haut,F,N,FR2017_155
2018,CDC,BF,Barbara,F,N,FR2017_126
2018,CDC,BF,Le Brio,F,N,FR2017_179
2018,CDC,BF,Patients,F,N,FR2017_037
2018,CDC,BF,Petit Paysan,F,N,FR2017_123
2018,CDC,BF,Le Sens de la fête,F,N,FR2017_141
2018,CDC,BDF,12 jours,D,N,FR2017_185
2018,CDC,BDF,"Visages, villages",D,N,FR2017_103
2018,CDC,BAF,Le Grand Méchant Renard et autres contes…,A,A,FR2017_097
2018,CDC,BAF,Sahara,A,N,FR2017_019
2018,CDC,BAF,Zombillénium,A,N,FR2017_151
2017,CDC,BF,Elle,F,A,FR2016_085
2017,CDC,BF,Frantz,F,N,FR2016_126
2017,CDC,BF,Les Innocentes,F,N,FR2016_021
2017,CDC,BF,Ma Loute,F,N,FR2016_083
2017,CDC,BF,Mal de pierres,F,N,FR2016_145
2017,CDC,BF,Victoria,F,N,FR2016_129
2017,CDC,BDF,Merci patron !,D,A,FR2016_030
2017,CDC,BDF,Voyage à travers le cinéma français,D,N,FR2016_141
2017,CDC,BAF,Ma vie de Courgette,A,A,
2017,CDC,BAF,La Jeune Fille sans mains,A,N,FR2016_181
2016,CDC,BF,Dheepan,F,N,FR2015_110
2016,CDC,BF,La Loi du marché,F,N,FR2015_073
2016,CDC,BF,Marguerite,F,N,FR2015_114
2016,CDC,BF,Mon roi,F,N,FR2015_139
2016,CDC,BF,Mustang,F,N,FR2015_083
2016,CDC,BF,La Tête haute,F,N,FR2015_071
2016,CDC,BF,Trois souvenirs de ma jeunesse,F,N,FR2015_074
2016,CDC,BDF,Demain,D,A,FR2015_166
2016,CDC,BDF,Le Bouton de nacre,D,N,FR2015_145
2016,CDC,BDF,"Cavanna jusqu'à l'ultime seconde, j'écrirai",D,N,FR2015_087
2016,CDC,BAF,Le Petit Prince,A,A,FR2015_102
2016,CDC,BAF,Adama,A,N,FR2015_140
2016,CDC,BAF,Avril et le Monde truqué,A,N,FR2015_150
2015,CDC,BF,Les Combattants,F,N,FR2014_110
2015,CDC,BF,Eastern Boys,F,N,FR2014_052
2015,CDC,BF,Saint Laurent,F,N,FR2014_127
2015,CDC,BF,Hippocrate,F,N,FR2014_114
2015,CDC,BF,Sils Maria,F,N,FR2014_111
2015,CDC,BDF,Le Sel de la Terre,D,A,FR2014_138
2015,CDC,BDF,Caricaturistes - Fantassins de la démocratie,D,N,FR2014_083
2015,CDC,BDF,Les Chèvres de ma mère,D,N,FR2014_061
2015,CDC,BAF,Jack et la Mécanique du cœur,A,N,FR2014_017
2023,EFA,BF,Anatomy of a Fall,F,A,FR2023_155
2023,EFA,BAF,Chicken for Linda!,A,N,FR2023_184
2023,EFA,BAF,The Amazing Maurice,A,N,GB2022_004
2023,EFA,BDF,On the Adamant,D,N,FR2023_091
2022,EFA,BF,Alcarràs,F,N,ES2022_007
2022,EFA,BF,Holy Spider,F,N,DE2023_001
2022,EFA,BAF,No Dogs or Italians Allowed,A,A,FR2023_022
2022,EFA,BAF,Little Nicholas - Happy as Can Be,A,N,FR2022_144
2022,GOPO,BF,Babardeală cu bucluc sau porno balamuc,F,A,RO2021_001
2022,GOPO,BF,Neidentificat,F,N,RO2021_011
2022,GOPO,BF,Otto Barbarul,F,N,RO2021_012
2022,GOPO,BDF,Casa cu păpuși,D,N,RO2021_004
2022,GOPO,BDF,Tatăl nostru,D,N,RO2021_008
2022,GOPO,BDF,România Sălbatică,D,A,RO2021_019
2023,GOPO,BF,Crai Nou,F,N,RO2022_008
2023,GOPO,BF,Imaculat,F,N,RO2022_015
2023,GOPO,BF,Metronom,F,N,RO2022_021
2023,GOPO,BF,Miracol,F,N,RO2022_023
2023,GOPO,BF,Oameni de treabă,F,A,RO2022_026
2024,GOPO,BF,Boss,F,N,RO2023_010
2024,GOPO,BF,Libertate,F,A,RO2023_007
2024,GOPO,BF,MMXX,F,N,RO2023_015
2024,GOPO,BF,Nu aștepta prea mult de la sfârșitul lumii,F,N,RO2023_012
2024,GOPO,BF,Spre Nord,F,N,RO2023_016
2024,GOPO,BDF,De ce mă cheamă Nora când cerul meu e senin,D,N,RO2023_013
2024,GOPO,BDF,Mrs. Buică,D,N,RO2023_026
2024,GOPO,BDF,Vulturii din țagă,D,N,RO2022_037
2021,GOPO,BF,Colectiv,F,A,RO2020_002
2021,GOPO,BF,Ivana cea mai groaznică,F,N,RO2020_006
2021,GOPO,BF,Tipografic majuscul,F,N,RO2020_004
2020,GOPO,BF,La Gomera,A,F,RO2019_004
2020,GOPO,BF,Monștrii,N,F,RO2019_010
2020,GOPO,BF,Parking,N,F,RO2019_005
2020,GOPO,BF,Touch me not,N,F,RO2019_021
2020,GOPO,BDF,Distanța dintre mine și mine,A,D,RO2019_007
2020,GOPO,BDF,Jurnalul familiei -Escu,N,D,RO2019_014
2020,GOPO,BDF,Omul care a vrut să fie liber,N,D,RO2019_022
2020,GOPO,BDF,Timebox,N,D,RO2019_019
2019,GOPO,BF,Charleston,N,F,RO2018_006
2019,GOPO,BF,Îmi iese indiferent dacă în istorie vom intra ca barbari,N,F,RO2018_005
2019,GOPO,BF,Moromeții 2,A,F,RO2018_001
2019,GOPO,BDF,Caisă,A,D,RO2019_015
2019,GOPO,BDF,"Licu, o poveste românească",N,D,RO2018_011
2017,GOPO,BF,Inima cicatrizate,N,F,RO2016_008
2017,GOPO,BF,Sieranevada,A,F,RO2016_003
2017,GOPO,BF,Câini,N,F,RO2016_004
2017,GOPO,BDF,Camera obscură,N,D,RO2016_021
2017,GOPO,BDF,Imagini de vis,N,D,RO2016_022
2017,GOPO,BDF,În căutarea tatălui pierdut,N,D,RO2016_018
2018,GOPO,BF,Breaking news,N,F,RO2017_007
2018,GOPO,BF,"6,9 pe scara Richter",N,F,RO2017_004
2018,GOPO,BF,Meda sau partea nu prea fericită a lucrurilor,N,F,RO2017_013
2018,GOPO,BF,Un pas în urma serafimilor,A,F,RO2017_003
2018,GOPO,BDF,"Brașov 1987, doi ani prea devreme",N,D,RO2017_025
2018,GOPO,BDF,Planeta Petrila,A,D,RO2017_009
2016,GOPO,BF,Aferim!,A,F,RO2015_001
2016,GOPO,BF,București non stop,N,F,RO2015_006
2016,GOPO,BF,Comoara,N,F,RO2015_005
2016,GOPO,BF,De ce eu?,N,F,RO2015_002
2016,GOPO,BF,Un etaj mai jos,N,F,RO2015_008
2016,GOPO,BDF,"Cinema, mon amour",N,D,RO2016_012
2016,GOPO,BDF,Muntele magic,N,D,RO2015_012
2015,GOPO,BF,Al doilea joc,N,F,RO2014_012
2015,GOPO,BF,Closer to the moon,A,F,RO2014_004
2015,GOPO,BF,Quod Erat Demonstrandum,N,F,RO2014_011
2015,GOPO,BDF,Al doilea joc,N,D,RO2014_012
2015,GOPO,BDF,Pașaport de Germania,N,D,RO2014_016
2015,GOPO,BDF,Un ultim an în 114 minute,N,D,RO2014_017
