film_id,nat_title,film_genre
ES2022_094,El color del cielo,DRA
ES2022_094,El color del cielo,ROM
ES2022_095,Para entrar a vivir,COM
ES2022_095,Para entrar a vivir,DRA
ES2022_095,Para entrar a vivir,FAN
ES2022_096,Culpa,DRA
ES2022_097,Pijamas Espaciales,ROM
ES2022_097,Pijamas Espaciales,COM
ES2022_097,Pijamas Espaciales,SCI
ES2022_098,Las niñas de cristal,DRA
ES2022_098,Las niñas de cristal,THR
ES2022_099,Mario Camus según el cine,MET
ES2022_099,Mario Camus según el cine,DPA
ES2022_099,Mario Camus según el cine,BIO
ES2022_099,Mario Camus según el cine,DPE
ES2022_100,Sonic Fantasy,DPA
ES2022_100,Sonic Fantasy,MUS
ES2022_101,Frente al Silencio,MUS
ES2022_101,Frente al Silencio,DRA
ES2022_102,Una película póstuma,DRA
ES2022_102,Una película póstuma,EXP
ES2022_103,Vamos A Volvernos Locos,COM
ES2022_104,Kuartk Valley,DOB
ES2022_104,Kuartk Valley,DPA
ES2022_104,Kuartk Valley,WES
ES2022_104,Kuartk Valley,MET
ES2022_105,El corazón de Europa,EXP
ES2022_106,El Tirabeque,COM
ES2022_106,El Tirabeque,DRA
ES2022_107,Controverso,DPA
ES2022_108,Mujeres sin censura,MET
ES2022_108,Mujeres sin censura,DPA
ES2022_108,Mujeres sin censura,DEX
ES2022_109,La piel en llamas,THR
ES2022_110,Film: The Living Record of Our Memory,DPA
ES2022_110,Film: The Living Record of Our Memory,MET
ES2022_111,El vent que ens mou,DPO
ES2022_111,El vent que ens mou,DOB
ES2022_112,Vilas y sus dobles,DPE
ES2022_113,El viaje de Julieta,DPA
ES2022_113,El viaje de Julieta,BIO
ES2022_113,El viaje de Julieta,MET
ES2022_114,Voces de una ciudad,DPA
ES2022_115,Mi adorado Monster,DPE
ES2022_115,Mi adorado Monster,HOR
ES2022_115,Mi adorado Monster,MET
ES2022_115,Mi adorado Monster,MOC
ES2022_116,Veneciafrenia,HOR
ES2022_116,Veneciafrenia,THR
ES2022_117,Karpeta Urdinak,DPE
ES2022_117,Karpeta Urdinak,DPA
GB2022_001,Downton Abbey: A New Era,DRA
GB2022_001,Downton Abbey: A New Era,COM
GB2022_001,Downton Abbey: A New Era,HIS
GB2022_001,Downton Abbey: A New Era,MET
GB2022_002,Fantastic Beasts: The Secrets of Dumbledore,FAN
GB2022_002,Fantastic Beasts: The Secrets of Dumbledore,ADV
GB2022_002,Fantastic Beasts: The Secrets of Dumbledore,CHI
GB2022_003,Roald Dahl's Matilda the Musical,MUS
GB2022_003,Roald Dahl's Matilda the Musical,CHI
GB2022_003,Roald Dahl's Matilda the Musical,FAN
GB2022_003,Roald Dahl's Matilda the Musical,COA
GB2022_003,Roald Dahl's Matilda the Musical,COM
GB2022_004,The Amazing Maurice,CHI
GB2022_004,The Amazing Maurice,COM
GB2022_004,The Amazing Maurice,ADV
GB2022_005,Operation Mincemeat,WAR
GB2022_005,Operation Mincemeat,HIS
GB2022_005,Operation Mincemeat,SPY
GB2022_005,Operation Mincemeat,DRA
GB2022_006,Mrs. Harris Goes to Paris,DRA
GB2022_006,Mrs. Harris Goes to Paris,COM
GB2022_006,Mrs. Harris Goes to Paris,HIS
GB2022_007,"Good Luck to You, Leo Grande",DRA
GB2022_007,"Good Luck to You, Leo Grande",COM
GB2022_008,Living,DRA
GB2022_009,Fisherman's Friends: One and All,MUS
GB2022_009,Fisherman's Friends: One and All,COM
GB2022_009,Fisherman's Friends: One and All,ROM
GB2022_010,Emily,BIO
GB2022_010,Emily,COA
GB2022_010,Emily,ROM
GB2022_010,Emily,DRA
GB2022_010,Emily,HIS
GB2022_011,The Railway Children Return,CHI
GB2022_011,The Railway Children Return,COA
GB2022_011,The Railway Children Return,ADV
GB2022_012,The Lost King,COM
GB2022_012,The Lost King,BIO
GB2022_013,Fall,THR
GB2022_013,Fall,DRA
GB2022_014,The Phantom of the Open,BIO
GB2022_014,The Phantom of the Open,COM
GB2022_014,The Phantom of the Open,HIS
GB2022_015,The Nan Movie,COM
GB2022_015,The Nan Movie,ROA
GB2022_016,The Forgiven,DRA
GB2022_016,The Forgiven,THR
GB2022_016,The Forgiven,ROA
GB2022_017,The Estate,COM
GB2022_018,Freedom Uncut,MUS
GB2022_018,Freedom Uncut,DPA
GB2022_018,Freedom Uncut,DPE
GB2022_019,Brian and Charles,COM
GB2022_019,Brian and Charles,SCI
GB2022_020,Benediction,BIO
GB2022_020,Benediction,DRA
GB2022_020,Benediction,HIS
GB2022_020,Benediction,WAR
GB2022_021,The Souvenir: Part II,DRA
GB2022_021,The Souvenir: Part II,MET
GB2022_022,Eric Ravilious: Drawn to War,DPA
GB2022_022,Eric Ravilious: Drawn to War,DPE
GB2022_023,This Much I Know to Be True,DPA
GB2022_023,This Much I Know to Be True,DPE
GB2022_023,This Much I Know to Be True,MUS
GB2022_024,Elizabeth: A Portrait in Part(s),DEX
GB2022_024,Elizabeth: A Portrait in Part(s),DPA
GB2022_024,Elizabeth: A Portrait in Part(s),BIO
GB2022_025,My Old School,DRE
GB2022_025,My Old School,DPE
GB2022_025,My Old School,DPA
GB2022_026,True Things,DRA
GB2022_026,True Things,ROM
GB2022_027,The Loneliest Boy in the World,COM
GB2022_027,The Loneliest Boy in the World,HOR
GB2022_027,The Loneliest Boy in the World,COA
GB2022_027,The Loneliest Boy in the World,ROM
GB2022_028,All My Friends Hate Me,COM
GB2022_028,All My Friends Hate Me,HOR
GB2022_028,All My Friends Hate Me,THR
GB2022_029,Flux Gourmet,COM
GB2022_029,Flux Gourmet,DRA
GB2022_029,Flux Gourmet,HOR
GB2022_030,Save the Cinema,COM
GB2022_030,Save the Cinema,DRA
GB2022_030,Save the Cinema,HIS
