film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
GB2019_001,Downton Abbey,GB2019_001_01,Hugh Bonneville,2,M,HE,WWE,UC,SE,AB,N
GB2019_001,Downton Abbey,GB2019_001_02,Maggie Smith,4,F,HE,WWE,UC,SE,AB,Y
GB2019_001,Downton Abbey,GB2019_001_03,Penelope Wilton,3,F,HE,WWE,UC,SE,AB,Y
GB2019_001,Downton Abbey,GB2019_001_04,Imelda Staunton,3,F,HE,WWE,UC,SE,AB,N
GB2019_001,Downton Abbey,GB2019_001_05,Jim Carter,3,M,,WWE,MC,EM,AB,N
GB2019_001,Downton Abbey,GB2019_001_06,Lesley Nicol,3,F,HE,WWE,LM,EM,AB,N
GB2019_001,Downton Abbey,GB2019_001_07,Phyllis Logan,3,F,HE,WWE,LM,EM,AB,N
GB2019_001,Downton Abbey,GB2019_001_08,Geraldine James,THE,F,HE,WWE,UC,SE,AB,N
GB2019_001,Downton Abbey,GB2019_001_09,Elizabeth McGovern,2,F,HE,WWE,UC,SE,AB,N
GB2019_002,Cats,GB2019_002_01,Judi Dench,4,F,,WWE,UC,SE,AB,N
GB2019_002,Cats,GB2019_002_02,Ian McKellen,4,M,,WWE,LM,,AB,N
GB2019_002,Cats,GB2019_002_03,Ray Winstone,3,M,,WWE,,,AB,N
GB2019_003,Stan & Ollie,GB2019_003_01,Danny Huston,2,M,,WNA,UM,SE,AB,N
GB2019_003,Stan & Ollie,GB2019_003_02,Steve Coogan,3,M,HE,WWE,MC,EM,AB,N
GB2019_003,Stan & Ollie,GB2019_003_03,John C. Reilly,3,M,HE,WNA,MC,EM,CI,N
GB2019_004,Mary Queen of Scots,GB2019_004_01,Simon Russell Beale,2,M,HE,WWE,UC,SE,,N
GB2019_004,Mary Queen of Scots,GB2019_004_02,Richard Cant,2,M,HE,WWE,UC,SE,,N
GB2019_005,Judy,GB2019_005_01,Michael Gambon,4,M,,WWE,UM,,AB,N
GB2019_006,Fisherman's Friends,GB2019_006_01,James Purefoy,2,M,HE,WWE,LM,EM,AB,N
GB2019_006,Fisherman's Friends,GB2019_006_02,Maggie Steed,3,F,HE,WWE,MC,SE,AB,N
GB2019_006,Fisherman's Friends,GB2019_006_03,Dave Johns,3,M,HE,WWE,LM,EM,AB,N
GB2019_006,Fisherman's Friends,GB2019_006_04,David Hayman,3,M,HE,WWE,LM,EM,AB,N
GB2019_007,The Kid Who Would Be King,GB2019_007_01,Patrick Stewart,4,M,,WWE,LM,EM,AB,N
GB2019_008,Blinded by the Light,GB2019_008_01,David Hayman,3,M,,WWE,MC,,AB,N
GB2019_008,Blinded by the Light,GB2019_008_02,Lorraine Ashbourne,2,F,,WWE,MC,EM,AB,N
GB2019_008,Blinded by the Light,GB2019_008_03,Jeff Mirza,2,M,,AWE,MC,EM,AB,N
GB2019_009,Wild Rose,GB2019_009_01,Julie Walters,3,F,HE,WWE,MC,RE,AB,N
GB2019_010,Red Joan,GB2019_010_01,Judi Dench,4,F,HE,WWE,MC,RE,TD,Y
GB2019_010,Red Joan,GB2019_010_02,Stephen Boxer,3,M,,WWE,UM,EM,AB,N
GB2019_011,Colette,GB2019_011_01,Fiona Shaw,3,F,,WWE,MC,,AB,N
GB2019_011,Colette,GB2019_011_02,Robert Pugh,4,M,,WWE,UM,,AB,N
GB2019_011,Colette,GB2019_011_03,Arabella Weir,3,F,,WWE,UM,,AB,N
GB2019_012,Official Secrets,GB2019_012_01,Ralph Fiennes,2,M,,WWE,UM,SE,AB,N
GB2019_012,Official Secrets,GB2019_012_02,Conleth Hill,2,M,,WWE,UM,EM,AB,N
GB2019_012,Official Secrets,GB2019_012_03,Peter Guinness,3,M,,WWE,MC,EM,AB,N
GB2019_013,The White Crow,GB2019_013_01,Ralph Fiennes,2,M,,WEE,UM,EM,AB,N
GB2019_014,Mrs Lowry and Son,GB2019_014_01,Timothy Spall,2,M,HE,WWE,LM,EM,AB,N
GB2019_014,Mrs Lowry and Son,GB2019_014_02,Vanessa Redgrave,4,F,HE,WWE,LM,RE,PD,Y
GB2019_014,Mrs Lowry and Son,GB2019_014_03,David Schaal,2,M,,WWE,UM,SE,AB,N
GB2019_015,All Is True,GB2019_015_01,Kenneth Branagh,2,M,HE,WWE,UM,RE,AB,N
GB2019_015,All Is True,GB2019_015_02,Judi Dench,4,F,HE,WWE,UM,SE,AB,N
GB2019_015,All Is True,GB2019_015_03,Ian McKellen,4,M,,WWE,UC,SE,AB,N
GB2019_016,The Souvenir,GB2019_016_01,Tilda Swinton,3,F,HE,WWE,UC,SE,AB,N
GB2019_016,The Souvenir,GB2019_016_02,Dick Fontaine,4,M,,WWE,UM,EM,AB,N
GB2019_017,The Vanishing,GB2019_017_01,Peter Mullan,3,M,HE,WWE,LM,EM,AB,N
GB2019_017,The Vanishing,GB2019_017_02,Gary Lewis,3,M,,WWE,LM,EM,AB,N
GB2019_017,The Vanishing,GB2019_017_03,Søren Malling,2,M,,WWE,MC,EM,AB,N
GB2019_018,Vita & Virginia,GB2019_018_01,Isabella Rossellini,3,F,HE,WWE,UC,SE,AB,N
GB2019_019,Tucked,GB2019_019_01,Derren Nesbitt,3,M,PA,WWE,LM,SE,CI,Y
GB2019_021,Ordinary love,GB2019_021_01,Liam Neeson,3,M,HE,WWE,MC,RE,AB,N
GB2019_021,Ordinary love,GB2019_021_02,Lesley Manville,3,F,HE,WWE,MC,RE,CI,N
GB2019_022,The Corrupted,GB2019_022_01,Timothy Spall,3,M,HE,WWE,UC,SE,AB,N
GB2019_022,The Corrupted,GB2019_022_02,Hugh Bonneville,2,M,HE,WWE,UM,EM,AB,N
GB2019_022,The Corrupted,GB2019_022_03,David Hayman,3,M,,WWE,MC,EM,AB,N
GB2019_022,The Corrupted,GB2019_022_04,Lorraine Ashbourne,2,F,HE,WWE,UC,UN,AB,N
GB2019_023,Ray & Liz,GB2019_023_01,Patrick Romer,3,M,HE,WWE,LC,UN,CI,N
GB2019_024,Out of Blue,GB2019_024_01,Patricia Clarkson,2,F,,WNA,MC,EM,AB,N
GB2019_024,Out of Blue,GB2019_024_02,Jacki Weaver,3,F,HE,WNA,UC,UN,AB,N
GB2019_024,Out of Blue,GB2019_024_03,James Caan,4,M,HE,WNA,UC,RE,AB,N
GB2019_026,The Convent,GB2019_026_01,Michael Ironside,3,M,HE,WWE,UM,EM,AB,N
GB2019_026,The Convent,GB2019_026_02,Clare Higgins,3,F,,WWE,MC,EM,AB,N
GB2019_026,The Convent,GB2019_026_03,Ania Marson,4,F,,WWE,MC,EM,AB,N
GB2019_028,My Zoe,GB2019_028_01,Lindsay Duncan,3,F,HE,WWE,MC,RE,AB,N
GB2019_030,Out of Innocence,GB2019_030_01,Fiona Shaw,3,F,HE,WWE,MC,EM,AB,N
GB2019_030,Out of Innocence,GB2019_030_02,Alun Armstrong,3,M,,WWE,MC,EM,AB,N
GB2019_030,Out of Innocence,GB2019_030_03,Des McAleer,3,M,,WWE,MC,EM,AB,N
GB2019_030,Out of Innocence,GB2019_030_04,Nick Dunning,3,M,HE,WWE,UM,EM,AB,N
GB2019_030,Out of Innocence,GB2019_030_05,Gary Whelan,3,M,HE,WWE,MC,EM,AB,N
GB2019_030,Out of Innocence,GB2019_030_06,Ruth McCabe,3,F,HE,WWE,MC,,AB,N
GB2019_032,Fanny Lye Deliver'd,GB2019_032_01,Charles Dance,3,M,HE,WWE,MC,SE,AB,N
GB2019_034,Born a King,GB2019_034_01,James Fleet,3,M,HE,WWE,UC,SE,AB,N
GB2019_034,Born a King,GB2019_034_02,Kenneth Cranham,4,M,HE,WWE,UC,SE,AB,N
GB2019_036,Division 19,GB2019_036_01,Linus Roache,2,M,,WWE,UC,EM,AB,N
GB2019_036,Division 19,GB2019_036_02,L. Scott Caldwell,3,F,,BNA,,,,N
GB2019_036,Division 19,GB2019_036_03,Clarke Peters,3,M,,BNA,,,,N
GB2019_037,Songbird,GB2019_037_01,Griffin Dunne,3,M,HE,WNA,MC,,AB,N
GB2019_038,Arifa,GB2019_038_01,Tina Gray,4,F,HE,WWE,MC,RE,AB,N
GB2019_038,Arifa,GB2019_038_02,Taru Devani,3,F,HE,AWE,LM,,AB,N
GB2019_038,Arifa,GB2019_038_03,Jeff Mirza,3,M,HE,AWE,LM,SE,AB,N
GB2019_039,Wild Honey Pie!,GB2019_039_01,Joanna Scanlan,2,F,HE,WWE,,,AB,N
GB2019_040,Ophelia,GB2019_040_01,Nathaniel Parker,2,M,HE,WWE,UC,SE,AB,N
GB2019_041,Crucible of the Vampire,GB2019_041_01,Larry Rew,4,M,HE,WWE,UC,SE,AB,N
GB2019_041,Crucible of the Vampire,GB2019_041_02,Brian Croucher,4,M,,WWE,,,AB,N
GB2019_041,Crucible of the Vampire,GB2019_041_03,Neil Morrissey,2,M,,WWE,LM,EM,AB,N
GB2019_042,Once Upon a Time in London,GB2019_042_01,Geoff Bell,2,M,HE,WWE,UM,SE,AB,N
GB2019_043,Invasion Planet Earth,GB2019_043_01,Toyah Wilcox,3,F,,WWE,,EM,AB,N
GB2019_043,Invasion Planet Earth,GB2019_043_02,Nina Stratford,3,F,,WNA,UC,EM,AB,N
GB2019_044,Winterlong,GB2019_044_01,Ian Puleston-Davies,2,M,,WWE,MC,EM,AB,N
GB2019_045,I Love My Mum,GB2019_045_01,Dominique Pinon,3,M,HE,WWE,MC,EM,AB,N
GB2019_048,The Courier,GB2019_048_01,Gary Oldman,3,M,,WWE,UC,SE,AB,N
GB2019_048,The Courier,GB2019_048_02,Dermot Mulroney,2,M,,WWE,MC,EM,AB,N
GB2019_050,Burning Men,GB2019_050_01,Christopher Fulford,3,M,,WWE,MC,,AB,N
GB2019_051,Steel Country,GB2019_051_01,Sandra Ellis Lafferty,4,F,HE,WNA,MC,RE,AB,N
GB2019_051,Steel Country,GB2019_051_02,Andrew Masset,3,M,,WNA,MC,EM,AB,N
GB2019_053,Making Noise Quietly,GB2019_052_01,Deborah Findlay,3,F,HE,WWE,MC,RE,AB,N
GB2019_053,Making Noise Quietly,GB2019_052_02,Barbara Marten,3,F,HE,WWE,UM,UN,AB,N
GB2019_053,Making Noise Quietly,GB2019_052_03,Joanne Howarth,3,F,HE,WWE,LM,EM,AB,N
GB2019_054,Mari,GB2019_054_01,Paddy Glynn,4,F,HE,WWE,MC,RE,CI,N
GB2019_054,Mari,GB2019_054_02,Phoebe Nicholls,3,F,HE,WWE,MC,RE,AB,N
GB2019_057,Neither Wolf Nor Dog,GB2019_057_01,Dave Bald Eagle,4,M,HE,NNA,LM,RE,AB,N
GB2019_057,Neither Wolf Nor Dog,GB2019_057_02,Richard Ray Whitman,3,M,HE,NNA,LM,SE,AB,N
GB2019_058,Say My Name,GB2019_058_01,Craig Fairbrass,2,M,HE,WWE,MC,SE,AB,N
GB2019_060,The Flood,GB2019_060_01,Iain Glen,2,M,,WWE,MC,EM,AB,N
GB2019_060,The Flood,GB2019_060_02,Amira Ghazalla,2,F,,MEA,,,,N
GB2019_061,London Unplugged,GB2019_061_01,Eve Pearce,4,F,,WWE,,,AB,N
GB2019_061,London Unplugged,GB2019_061_02,Juliet Stevenson,3,F,,WWE,,,AB,N
GB2019_061,London Unplugged,GB2019_061_03,Shaun Prendergrast,3,M,,WWE,,,AB,N
GB2019_061,London Unplugged,GB2019_061_04,Chris Barritt,3,M,,WWE,,,AB,N
GB2019_061,London Unplugged,GB2019_061_05,Mark Forstater,4,M,,WWE,,,AB,N
GB2019_064,Destination: Dewsbury,GB2019_064_01,Maurice Byrne,3,M,HE,WWE,MC,,AB,N
GB2019_066,American Woman,GB2019_066_01,Amy Madigan,3,F,HE,WNA,UM,,AB,N
GB2019_068,Tomorrow,GB2019_068_01,Stephen Fry,3,M,,WWE,MC,EM,AB,N
GB2019_068,Tomorrow,GB2019_068_02,James Cosmo,3,M,,WWE,UM,EM,AB,N
GB2019_072,The Fight,GB2019_072_01,Anita Dobson,4,F,HE,WWE,MC,RE,AB,N
GB2019_072,The Fight,GB2019_072_02,Christopher Fairbank,3,M,HE,WWE,MC,RE,AB,N
GB2019_074,Jellyfish,GB2019_074_01,Angus Barnett,2,M,,WWE,MC,SE,AB,N
GB2019_074,Jellyfish,GB2019_074_02,Cyril Nri,2,M,,BWE,MC,EM,AB,N
GB2019_076,The Party's Just Beginning,GB2019_076_01,Siobhan Redmond,2,F,HE,WWE,MC,,AB,N
GB2019_077,Puppet Master: The Littlest Reich,GB2019_077_01,Michael Paré,2,M,,WNA,MC,,AB,N
GB2019_077,Puppet Master: The Littlest Reich,GB2019_077_02,Udo Kier,3,M,,WWE,UM,SE,AB,N
GB2019_077,Puppet Master: The Littlest Reich,GB2019_077_03,Matthias Hues,2,M,,WWE,,,,N
ES2020_001,Padre no hay más que uno 2: La llegada de la suegra,ES2020_001_03,Leo Harlem,2,M,HE,WWE,MC,UN,AB,N
ES2020_002,Malasaña 32,ES2020_002_01,Concha Velasco,4,F,,WWE,MC,,,
ES2020_002,Malasaña 32,ES2020_002_02,Javier Botet,4,F,,WWE,MC,,,N
ES2020_002,Malasaña 32,ES2020_002_03,José Luis de Madariaga,4,M,HE,WWE,MC,RE,AB,Y
ES2020_003,Superagente Makey,ES2020_003_01,Leo Harlem,2,M,,WWE,MC,EM,AB,N
ES2020_003,Superagente Makey,ES2020_003_02,Jordi Sánchez,2,M,,WWE,LM,UN,AB,N
