person_id,person_name,person_nat
,Andrea Purgatori,IT
,Andrea Roncato,IT
,Andrea Salerno,IT
,Andrea Sawatzki,DE
,Andreas Borcherding,DE
,Andrea Schramm,DE
,Andreas Dresen,DE
,Andrea Segre,IT
,Andreas Giebel,DE
,Andreas Goldstein,DE
,Andreas Hüneke,DE
,Andrea Sihler,AT
,Andreas Kleinert,DE
,Andreas Köhler,DE
,Andreas Lechner,DE
,Andreas Leupold,DE
,Andreas Marquardt,DE
,Andreas Nickl,DE
,Andreas Pegler,DE
,Andreas Reiner,
,Andreas Schmidbauer,DE
,Andrea Tagliaferri,IT
,Andrea Takáts,HU
,Andrea Zalone,IT
,Andrea Zogg,CH
,André Bonzel,FR
,André Chazel,FR
,André Dussollier,FR
,Andrée Damant,FR
,André Erkau,DE
,Andrée Tainsy,BE
,André Hennicke,DE
,Andre Hörmann,DE
,Andrei Cohn,RO
,Andrei Crețulescu,RO
,Andrei Dăscălescu,RO
,Andrei Finți,RO
,Andrei Gruzsniczki,RO
,Andrei Huțuleac,RO
,Andrei Zinca,RO
,Andreja Schneider,CR
,André Jung,LU
,André Marcon,FR
,André Oumansky,FR
,André Penvern,FR
,André Robillard,FR
,"Andrés ""El Pájaro"" Herrera",ES
,Andres Heger-Bratterud,NO
,André Singer,GB
,Andrés Lima,ES
,Andrés Santana,ES
,Andrés Sanz,ES
,Andrés Trapiello,ES
,Andres Veiel,DE
,André Szardenings,DE
,André Téchiné,FR
,Andrew Cryan,GB
,Andrew Dominik,AU
,Andrew Gaynord,GB
,Andrew Haigh,GB
,André Wilms,FR
,Andrew Levitas,US
,Andrew Loog Oldman,GB
,Andrew Loveday,GB
,Andrew Masset,MX
,Andrew Peat,US
,Andrew Readman,GB
,Andrew Ridgeley,GB
,Andrey Paounov,BG
,Andromeda Godfrey,GB
,Andrzej Chyra,PL
,Andrzej Seweryn,DE
,Andy De Emmony,GB
,Andy de la Tour,GB
,Andy Goddard,GB
,Andy Goldsworthy,GB
,Andy Gray,GB
,Andy Luotto,IT
,Andy MacKinnon,GB
,Andy Rashleigh,GB
,Andy Townsend,IE
,Ane Gabarain,ES
,Anémone,FR
,Angela Baraldi,IT
,Angela Bassett,US
,Angéla Császár,HU
,Angéla Császár,RO
,Angela Curran,GB
,Angela Finocchiaro,IT
,Ángela López Gamonal,ES
,Angela Merkel,DE
,Ángela Molina,ES
,Ângela Rabello,BR
,Angela Roy,DE
,Angela Schanelec,DE
,Angela Winkler,DE
,Ángel de la Cruz,ES
,Ángel Delgadillo,US
,Ángeles González Sinde,ES
,Ángeles Huerta,ES
,Ángeles Moreno,ES
,Ángeles Reiné,ES
,Ángel Gómez Hernández,ES
,Ángel Héctor Sánchez,ES
,Angelika Bender,DE
,Angelika Böttiger,DE
,Angelika Mette,RU
,Angelika Sedlmeier,DE
,Angelika Thomas,DE
,Angelika Waller,DE
,Angélique Kidjo,BJ
,Angelo Antonucci,IT
,Angelo Aybar,FR
,Angelo Barbagallo,IT
,Angelo Bison,FR
,Angelo Borer,CH
,Angelo Borer,DE
,Angelo Branduardi,IT
,Angelo Di Gennaro,IT
,Ángel Pardo,ES
,Àngels Barceló,ES
,Angus Barnett,GB
,Angus Wright,GB
,Ania Marson,GB
,Ania Marson,PL
,Aníbal Soto,ES
,Anica Dobra,SE
,Aniëlle Webster,NL
,Anika Decker,DE
,Anikó Für,HU
,Anissa Bonnefont,FR
,Anita Dobson,GB
,Anita Heck,
,Anita Zagaria,IT
,Anja Beatrice Kaul,DE
,Anjelica Huston,US
,Anke Domscheit-Berg,DE
,Anke Engelke,CA
,Anke Engelke,CA
,Anke Engelke,DE
,Anke Sevenich,DE
,Anna Agnelli,IT
,Anna Azcárate,SE
,Anna Bardorf,DE
,Anna Bofarull,ES
,Anna Bonaiuto,IT
,Anna Brodskaja-Bomke,RU
,Anna Calder-Marshall,GB
,Anna Chancellor,GB
,Anna De Nitto,IT
,Anna Di Francisca,IT
,Anna Fehér,HU
,Anna Ferruzzo,IT
,Anna Galiena,IT
,Anna Gaylor,FR
,Anna Györgyi,HU
,Anna Hepp,DE
,Anna Karina,DK
,Anna Kubik,HU
,Anna M. Bofarull,ES
,Annamária Albu,HU
,Annamária Albu,RO
,Annamária Babják,HU
,Annamária Bede-Fazekas,HU
,Anna Maria De Luca,IT
,Anna Migotto,IT
,Anna Mottram,GB
,Anna Najder,FR
,Anna Nemes,HU
,Anna R. Costa,ES
,Anna Ráckevei,HU
,Anna Recalde Miranda,IT
,Annarita Zambrano,IT
,Anna Roller,DE
,Anna Serner,SE
,Anna Sofie Hartmann,DM
,Anna Stieblich,DE
,Anna Utrecht,
,Anna Werner,DE
,Anna Wintour,GB
,Ann Carolin Renninger,DE
,Anne Alix,FR
,Anne Alvaro,FR
,Anne Bennent,CH
,Anne Benoît,FR
,Anne Canovas,FR
,Anne Clark,UK
,Anne Coesens,BE
,Anne Consigny,FR
,Anne Depétrini,FR
,Anne Dorval,CA
,Anne Fontaine,FR
,Anne Giafferi,FR
,Anne Gruwez,BE
,Annekathrin Bürger,DE
,Anne-Kathrin Gummich,DE
,Annekatrin Hendel,DE
,Anne Kessler,FR
,Anne Kidd,GB
,Anne-Laure Daffis,FR
,Anne Le Ny,FR
,Anne-Lise Koehler,FR
,Anne Loiret,FR
,Anne Marev,BE
,Anne-Marie Philipe,FR
,Anne-Marie Ponsot,FR
,Anne Nissen,FR
,Anne Osterloh,DE
,Anne Parillaud,FR
