year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2014,BIFA,BAFE,Cheng Pei-pei,N,1946,68,F,Lilting,GB2014_004,GB2014_004_01,
2014,BIFA,BSAF,Imelda Staunton,A,1956,58,F,Pride,GB2014_003,GB2014_003_02,
2014,BIFA,BD,Lenny Abrahamson,N,1966,48,M,Frank,GB2014_009,,
2014,BIFA,BD,Matthew Warchus,N,1966,48,M,Pride,GB2014_003,,
2014,BIFA,BD,Mike Leigh,N,1943,71,M,Mr. Turner,GB2014_001,,
2023,BAFTA,BAM,Bill Nighy,N,1949,74,M,Living,GB2022_008,GB2022_008_01,
2023,BAFTA,BAFE,Emma Thompson,N,1959,64,F,"Good Luck to You, Leo Grande",GB2022_007,GB2022_007_01,
2022,BAFTA,BAFE,Joanna Scanlan,A,1961,61,F,After Love,GB2021_017,GB2021_016_01,
2022,BAFTA,BSAM,Ciarán Hinds,N,1953,69,M,Belfast,GB2022_075,GB2022_075_01,
2022,BAFTA,BD,Aleem Khan,N,1985,37,M,After Love,GB2021_017,,
2021,BAFTA,BAM,Anthony Hopkins,A,1937,84,M,The Father,GB2021_005,GB2021_005_01,
2020,BAFTA,BD,Sam Mendes,A,1965,55,M,1917,GB2020_001,,
2019,BAFTA,BAFE,Glenn Close,N,1947,72,F,The Wife,GB2018_009,GB2018_009_01,
2019,BAFTA,BD,Yorgos Lanthimos,N,1973,46,M,The Favourite,GB2019_094,,
2018,BAFTA,BAM,Gary Oldman,A,1958,60,M,Darkest Hour,GB2018_002,GB2018_002_01,
2018,BAFTA,BAM,Jamie Bell,N,1986,32,M,Film Stars Don't Die in Liverpool,GB2017_016,,
2018,BAFTA,BAFE,Frances McDormand,A,1957,61,F,"Three Billboards Outside Ebbing, Missouri",GB2018_004,GB2018_004_01,
2018,BAFTA,BAFE,Annette Bening,N,1958,60,F,Film Stars Don't Die in Liverpool,GB2017_016,GB2017_016_01,
2018,BAFTA,BSAM,Hugh Grant,N,1960,58,M,Paddington 2,GB2017_002,GB2017_002_01,
