person_id,person_name,birth_year,death_year,gender
,Jorge Rivera,,,M
,Jorma Kaukonen,1940,,M
 ,José Alcala,1958,,M
,José Andreu,1973,,M
,José Ángel Egido,1951,,M
,José Antonio Hergueta,1966,,M
,José Antonio Lobato,1956,2020,M
,José Antonio Quirós,1963,,M
,José Bono,1950,,M
,José Carabias,1947,,M
,José Carlos Domínguez,1966,,M
,José Carlos Plaza,1954,,M
,José Corbacho,1965,,M
,José Coronado,1957,,M
,José Da Silva,1961,,M
,José F. Ortuño,1977,,M
,José Frade,1938,,M
 ,José Luis López-Linares,1955,,M
,José Luis Montesinos,1978,,M
,José Luis Pecharromán,1970,,M
,José Luis Velázquez,,,M
,José Manuel Cervino,1940,,M
,José Manuel Fernández-Jardón,,,M
,José María Blanco,1935,,M
,José María Galante,1948,2020,M
,José María Peña,1962,,M
,José María Zavala,1962,,M
,José Mota,1965,,M
,José Neto,1955,2023,M
,José Ramón Capdevila,,,M
,José Ramón Pardo,1949,,M
,José Ramón Soroiz,1951,,M
,José Sacristán,1937,,M
,José Sáez Conejero,,,M
,José Sánchez-Montes,1961,,M
,José Torija,,,M
,Joseba Ponce,,,M
,Josef Bierbichler,1948,,M
,Josef Hader,1962,,M
,Josef Kappl,1950,,M
,Josef Michael Kreutzer,1952,,M
,Josef Nadj,1957,,M
,Josef Ostendorf,1956,,M
,"Josefina Carrera Fernández ""Cuca""",1931,,F
,Josele Román,1946,,F
,Josep Abad,,,M
,Josep Maria Alejandre,,,M
,Josep Maria Pou,1944,,M
,Josep Seguí,,,M
,Joseph Hannesschläger,1962,2020,M
 ,José Garcia,1966,,M
,José González,,,M
,José Lifante,1943,2024,M
,José Luis Aguirre,,,M
,José Luis de Madariaga,1944,,M
,José Luis Egea,1940,,M
,José Luis Ferris,1960,,M
,José Luis Garci,1944,,M
,José Luis García Berlanga,1955,,M
,José Luis García Cossío,1962,,M
,José Luis García Sánchez,1941,,M
,José Luis Gil,1957,,M
,José Luis Gómez,1940,,M
 ,José Luis Guerín,1960,,M
 ,Joséphine de Meaux,1977,,F
,Josh Appignanesi,1975,,M
,Josh Sagie,1966,,M
 ,Joseph Malerba,1962,,M
,Joseph Mydell,1945,,M
 ,Joseph Nenci,1979,,M
,Joseph Rottner,,,M
,Joseph Vilsmaier,1939,,M
 ,Josiane Balasko,1950,,F
 ,Josiane Lévêque,1943,,F
 ,Josiane Pinson,1957,,M
 ,Josiane Stoléru,1949,,F
,Josie Lawrence,1959,,F
,Josie Rourke,1976,,F
,Josito Porto,1967,,M
,Jota Linares,1982,,M
,Joya Thome,1990,,F
,József Bíró,1960,,M
,József Bozai,1947,,M
,József Gyabronka,1953,,M
,József Kelemen,1961,,M
,József Kerekes,1962,,M
,József Sipos,1953,,M
,József Szarvas,1958,,M
,József Varga,1965,,M
,Juan Alberto López,1962,,M
,Juan Antin,1969,,M
,Juan Antonio Porto,1937,2021,M
,Juan Bautista López,,,M
,Juan Carlos Corazza,1959,,M
,Juan Carlos Garés,,,M
,Juan Carlos Martín,1964,,M
,Juan Carlos Medina,1977,,M
,Juan Carlos Sánchez,,,M
,Juan Cavestany,1967,,M
,Juan Diego,1942,2022,M
,Juan Diego Botto,1975,,M
,Juan Francisco Viruega,1982,,M
,Juan Gamero,,,M
,Juan Gea,1953,,M
,Juan González,1991,,M
,Juan Jesús García Galocha,1978,,M
,Juan Jesús Valverde,1943,,M
,Juan José Ponce,,,M
,Juan Lombardero,1949,,M
,Juan Luis Arsuaga,1954,,M
,Juan Manuel Chumilla-Carbajosa,1961,,M
,Juan Manuel Lara,1963,,M
,Juan Manuel Villar Betancort,,,M
,Juan Margallo,1940,,M
,Juan Mari Arzak,1942,,M
,Juan Mariné,1920,,M
,Juan Miguel del Castillo,1975,,M
,Juan Motilla,1957,,M
,Juan Palacios,1986,,M
,Juan Pinzás,1955,,M
,Juan Ribó,1952,,M
,Juan Rueda,1963,,M
,Juan Viadas,1952,,M
,Juan Zavala,,,M
,Juana Cordero,1962,,F
,Juana Macías,1971,,F
,Juanjo Artero,1965,,M
,Juanjo Puigcorbé,1955,,M
,Juanma Bajo Ulloa,1967,,M
,Juanma Suárez,1974,,M
,Judi Dench,1934,,F
,Judit Csoma,1952,,F
,Judit Hernádi,1956,,F
,Judit Meszléry,1941,,F
,Judit Pogány,1944,,F
,Judit Simon,,,F
 ,Judith Davis,1982,,F
 ,Judith Magre,1926,,F
,Judith Roberts,1934,,F
 ,Judy Davis,1955,,F
,Judy Winter,1944,,F
,Jule Böwe,1969,,F
,Jules Williamson,,,F
,Juli Básti,1957,,F
,Juli Cantó,1958,,M
,Juli Mira,1949,2024,M
,Julia Deakin,1952,,F
 ,Julia Ducournau,1983,,F
,Julia Gutiérrez Caba,1934,,F
,Julia Horn,1961,,F
,Julia Juániz,1956,,F
,Julia Kassar,1963,,F
,Julia Langhof,1981,,F
,Julia McKenzie,1941,,F
,Júlia Nyakó,1963,,F
 ,Julia Ormond,1965,,F
,Julia Varela,1942,,F
,Julia von Heinz,1976,,F
,Julian Firth,1960,,M
,Julián Génisson,1982,,M
,Julian Glover,1935,,M
,Julian Grant,1960,,M
,Julian Köberer,1985,,M
,Julian Radlmaier,1984,,M
,Julian Sands,1958,2023,M
,Julián Valcárcel,1966,,M
,Julian Wadham,1958,,M
,Julian Wittmann,1993,,M
,Juliane Köhler,1965,,F
,Julianne Moore,1960,,F
,Julie Arnold,1955,,F
 ,Julie Bertuccelli,1968,,F
 ,Julie Christie,1940,,F
 ,Julie Delpy,1969,,F
 ,Julie Manoukian,1982,,F
,Julie T. Wallace,1961,,F
,Julie Walters,1950,,F
 ,Julien Abraham,1976,,M
 ,Julien Chheng,,,M
,Julien Clerc,1947,,M
 ,Julien de Volte,,,M
 ,Julien Dray,1955,,M
 ,Julien Faraut,1978,,M
 ,Julien Fournet,,,M
,Julien Guetta,,,M
,Julien Hallard,1974,,M
,Julien Hervé,1974,,M
,Julien Kramer,1962,,M
,Julien Landais,1981,,M
,Julien Leclercq,1979,,M
 ,Julien Lenoir,,,M
 ,Julien Maury,1978,,M
 ,Julien Paolini,1986,,M
 ,Julien Peron,,,M
 ,Julien Rambaldi,1971,,M
 ,Julien Rappeneau,1971,,M
,Julien Temple,1953,,M
 ,Julien Thèves,,,M
 ,Julien Weill,,,M
,Juliet Cadzow,1951,,F
,Juliet Stevenson,1956,,F
,Julieta Serrano,1933,,F
,Julieta Szönyi,1949,,F
,Juliette Binoche,1964,,F
 ,Juliette Plumecocq-Mech,1968,,F
,Julio Arnau Catalá,,,M
,Julio Betancur,1960,,M
,Julio César Sánchez,,,M
,Julio de la Fuente,1961,,M
,Julio Jung,1942,,M
,Julio Mazarico,,,M
,Julio Medem,1958,,M
,Julio Soto Gurpide,,,M
,Julio Suárez Maireles,1967,,M
,Julius Berg,1977,,M
,Jun Kunimura,1955,,M
,June Watson,1935,,F
,Juni Dahr,1953,,F
,Jürgen Blin,1943,2022,M
,Jürgen Grislawski,1955,,M
,Jürgen Heinrich,1945,,M
,Jürgen Kluckert,1943,2023,M
,Jürgen Prochnow,1941,,M
,Jürgen Rißmann,1963,,M
,Jürgen Tarrach,1960,,M
,Jürgen Thormann,1928,2024,M
,Jürgen Tonkel,1962,,M
,Jürgen Vogel,1968,,M
,Jürgen Zeltinger,1949,,M
 ,Just Philippot,1982,,M
,Justi Larrinaga,1953,,F
,Justus Carrière,1956,,M
,Justus von Dohnányi,1960,,M
,Jutta Brings,1966,,F
 ,Kad Merad,1964,,M
,Kai Groenwald,1967,,M
,Kai Wiesinger,1966,,M
,Kaki Wong,,,F
,Kála Czupi,,,F
,Kalle Schwensen,1953,,M
,Kamala Nagarayya,,,F
,Kamau Kenyatta,1959,,M
 ,Kamel El Basha,1962,,M
,Kandido Uranga,1955,,M
,Kanji Tsuda,1965,,M
,Kao Chenmin,1953,,M
,Karen Böhne,1963,,F
,Karen Gillan,1987,,F
,Kariem Saleh,,,M
,Karim Aïnouz,1966,,M
 ,Karim Belkhadra,1963,,M
,Karin Mück,,,F
,Karin Neuhäuser,1955,,F
,Karin Pfammatter,1962,,F
,Karin Ugowski,1943,,F
,Karin v. Matzenau,,,F
 ,Karin Viard,1966,,F
,Karina,1945,,F
 ,Karine Silla,1965,,F
,Karl Fischer,1956,,M
,Karl Johnson,1948,,M
,Karl Knaup,1950,,M
,Karl Kranzkowski,1953,,M
,Karl Lauterbach,1963,,M
,Karl Markovics,1963,,M
,Karl-Heinz Dellwo,1952,,M
,Karl-Heinz Schulze,1937,,M
,Karlos Arguiñano,1948,,M
,Karmele Aranburu,1963,,F
 ,Karole Rocher,1974,,F
,Karoline Herfurth,1984,,F
,Károly Eperjes,1954,,M
,Károly Nemcsák,1957,,M
,Károly Ujj Mészáros,1968,,M
,Károly Váry,1956,,M
,Karra Elejalde,1960,,M
,Karsten Dahlem,1975,,M
,Kasem Hoxha,1968,,M
,Kata Dobó,1974,,F
,Kata Oláh,1966,,F
,Katalin Andai,1948,,F
,Katalin Gyöngyössy,1940,,F
,Katalin Lőrincz,1957,,F
,Katalin Takács,1951,,F
,Katalin Udvarias,1953,,F
,Katarina Klaffs,1967,,F
 ,Kate Duchêne,1959,,F
,Kate Trotter,1953,,F
,Katharina Linder,1961,,F
,Katharina Marie Schubert,1977,,F
,Katharina Matz,1930,2021,F
,Katharina Mihm,1983,,F
,Katharina Sieverding,1944,,F
,Katharina Thalbach,1954,,F
,Katharina Wackernagel,1978,,F
,Katharina Woll,1984,,F
,Kathleen Renish,1956,,F
,Kathleen Turner,1954,,F
,Kathryn Hunter,1957,,F
,Kathy Bates,1948,,F
,Kathy LeMond,1960,,F
,Kathy Valentine,1959,,F
,Kati Lázár,1948,,F
,Kati Sólyom,1940,,F
,Kati Zsurzs,1955,,F
 ,Katia Lewkowicz,1973,,F
 ,Katia Tchenko,1947,,F
,Katinka Faragó,1936,2024,F
,Katja Benrath,1979,,F
,Katja Riemann,1963,,F
 ,Katrin Schlösser,1965,,F
,Katy Karrenbauer,1962,,F
,Kazim Abdullayev,1953,,M
,Kazim Demirbas,1962,,M
,Keith Allen,1953,,M
,Keith Brymer Jones,1965,,M
,Keith Chanter,,,M
,Keith Christiansen,1947,,M
,Keith English,1961,,M
,Keith Farrell,,,M
,Keith Richards,1943,,M
,Kelly Preston,1962,,F
,Ken Auletta,1942,,M
,Ken Davitian,1953,,M
,Ken Loach,1936,,M
,Ken Merrett,,,M
,Ken Ramsden,1945,,M
,Ken Scott,1970,,M
,Ken Smith,1947,,M
,Ken Stott,1954,,M
,Kenneth Branagh,1960,,M
,Kenneth Cranham,1944,,M
 ,Kenneth Herdigein,1959,,M
,Kenneth Welsh,1942,2022,M
,Kepa Cueto,1959,,M
,Kepa Sojo,1968,,M
 ,Keren Ben Rafael,1978,,F
,Kerry Fox,1966,,F
,Kerry Shale,1952,,M
,Kerstin Graßmann,1959,,F
,Kerstin Polte,1975,,F
,Kevin Allen,1959,,M
 ,Kevin Kline,1947,,M
,Kevin MacDonald,1967,,M
 ,Kévin Ossona,,,M
,Kevin Ratcliffe,1960,,M
 ,Kevin Spacey,1959,,M
,Khaled Houissa,1953,,M
,Khaled Kaissar,1986,,M
,Khavn,1973,,M
,Kheiron,1982,,M
,Kida Khodr Ramadan,1976,,M
,Kiev Stingl,1943,2024,M
,Kike Biguri,1964,,M
,Kike Maíllo,1975,,M
,Kiko Veneno,1952,,M
,Kim Burdon,,,M
,Kim Hopkins,,,F
,Kim Leggatt,1967,,F
 ,Kim Rossi Stuart,1969,,M
,Kim Seligsohn,1965,,F
,Kim Wilde,1960,,F
,Kirin Kiki,1943,2018,F
,Kirsty Bell,,,F
,Kirsty MacDonald,,,F
,Kiti Mánver,1953,,F
,Klara Höfels,1949,2022,F
,Klaus B. Wolf,1964,,M
,Klaus Friedrich,,,M
,Klaus Iohannis,1959,,M
,Klaus Manchen,1936,2024,M
,Klaus Maria Brandauer,1943,,M
,Klaus Peeck,1947,,M
,Klaus Rohrmoser,1953,,M
,Klaus Schlesinger,1937,2001,M
,Klaus Zmorek,1957,,M
,Klaus-Peter Grap,1958,,M
,Koldo Amandoz,1973,,M
,Konrád Quintus,1960,,M
,Konstantin Wecker,1947,,M
,Koraljka Kos,1934,,F
,Kornél Mundruczó,1975,,M
,Kornél Pusztaszeri,1960,,M
,Kris Kwiat,1996,,M
,Krischa Weber,1961,,F
 ,Saturnino García,1935,,M
,Savas Ceviz,1965,,M
,Klaus Meine,1948,,M
,Matthias Jabs,1955,,M
,Mikkey Dee,1963,,M
,Rudolf Schenker,1948,,M
,Scott Alexander Young,1965,,M
,Scott Elliott,,,M
,Scott Hahn,1957,,M
,Scott Jaeck,1954,,M
,Scott Mann,1979,,M
,Seamus O'Neill,1952,,M
,Sean B. Carroll,1960,,M
,Sean Bean,1959,,M
,Sean Blowers,1961,,M
,Sean Cronin,1964,,M
,Sean Foley,1964,,M
,Sean Gilder,1964,,M
,Sean McGinley,1956,,M
 ,Kristian Gianfreda,1976,,M
,Kristian Gründling,,,M
,Kristin Hersh,1966,,F
 ,Kristin Scott Thomas,1960,,F
,Kristina De Coninck,1961,,F
,Kristina Schippling,1983,,F
,Kristóf Deák,1982,,M
,Kristóf Jurik,1990,,M
,Kristoffer Nyholm,1951,,M
 ,Kristoph Tassin,,,M
,Krisztina Goda,1970,,F
,Krisztina Szalay,1963,,F
,Krisztina Urbanovits,1970,,F
,Kuddel,1964,,M
,Kurt Oesterle,1955,,M
,Kyra Steckeweh,1984,,F
,L. Scott Caldwell,1950,,F
 ,La Castou,1948,,F
,La Chana,1946,,F
 ,Ladislas Chollat,1975,,M
,Laercio de Freitas,1941,,M
,Laetitia Carton,1974,,F
,Lajos Kovács,1944,,M
,Lajos Ottó Horváth,1963,,M
 ,Lallo Circosta,1968,,M
,Lalor Roddy,1954,,M
 ,Lamberto Bava,1944,,M
,Lana Love,,,F
,Lar Park Lincoln,1961,,F
,Lara Hewitt,,,F
,Lara Izagirre,1985,,F
,Larrington Walker,1946,2017,M
 ,Lambert Wilson,1958,,M
 ,Larry Clark,1943,,M
,Larry Lamb,1947,,M
,Larry Mullen Jr,1961,,M
,Larry Rew,1947,2022,M
,Lars Brygmann,1957,,M
,Lars Jessen,1969,,M
,Lars Kraume,1973,,M
,Lars Montag,1971,,M
,Lars Rudolph,1966,,M
,László Baranyi,1927,,M
,László Barna,,,M
,László Csuja,1984,,M
,László Földes,1945,,M
,László Görög,1964,,M
,László Horányi,1951,,M
,László Illés,1987,,M
,László Keszég,1970,,M
,László Lippai,1959,2022,M
,László Melis,1953,2018,M
,László Nemes,1977,,M
,László Quitt,1962,2022,M
 ,László Szabó,1936,,M
,László Szacsvay,1947,,M
,László Szakács,1961,,M
,László Tahi Tóth,1944,2018,M
,László Ujréti,1942,,M
,László Valiszka,1970,,M
,Laura Álvarez Soler,,,F
,Laura Alvea,1976,,F
,Laura Balzer,1993,,F
 ,Laura Benson,,,F
 ,Laura Betti,1927,,F
 ,Laura Bispuri,1977,,F
 ,Laura Chiossone,1974,,F
,Laura del Sol,1961,,F
,Laura Dern,1967,,F
 ,Laura Efrikian,1940,,F
,Laura Ferrés,1989,,F
,Laura García Andreu,,,F
,Laura García Lorca,1953,,F
,Laura Harwarth,1989,,F
,Laura Hojman,1981,,F
,Laura Jou,1969,,F
,Laura June Hudson,,,F
,Laura Lackmann,1979,,F
,Laura Lehmus,1972,,F
 ,Laura Luchetti,1969,,F
 ,Laura Morante,1956,,F
,Laura Pons,1945,,F
,Laura-Maria Ilie,,,F
 ,Laure Adler,1950,,F
,Laure de Clermont-Tonnerre,1983,,F
 ,Laure Duthilleul,1959,,F
 ,Laurence Côte,1966,,F
,Laurence Masliah,1958,,F
 ,Laurence Roy,1949,,F
 ,Laurent Bateau,1964,,M
 ,Laurent Bouhnik,1961,,M
,Laurent Brard,1971,,M
 ,Laurent Cantet,1961,2024,M
 ,Laurent Dassault,1953,,M
,Laurent Delahousse,1969,,M
 ,Laurent Gamelon,1960,,M
 ,Laurent Gerra,1967,,M
 ,Laurent Grévill,1961,,M
 ,Laurent Heynemann,1948,,M
 ,Laurent Junca,,,M
 ,Laurent Korcia,1964,,M
 ,Laurent Lafitte,1973,,M
 ,Laurent Larivière,1972,,M
 ,Laurent Lucas,1965,,M
 ,Laurent Morteau,1965,,M
 ,Laurent Natrella,1964,,M
 ,Laurent Olmedo,1963,,M
 ,Laurent Poitrenaux,1967,,M
,Laurent Queralt,,,M
 ,Laurent Romanelli,1946,,M
 ,Laurent Terzieff,1935,2010,M
 ,Laurent Tirard,1967,,M
,Laurent Van Wetter,1963,,M
 ,Lauriane Escaffre,1978,,F
,Laurie Anderson,1947,,F
,Laurie Lipton,1953,,F
 ,Lawrence Ferlinghetti,1919,2021,M
,Lawrence Richards,1981,,M
,Layke Anderson,1983,,M
 ,Lazar Ristovski,1952,,M
 ,Léa Mysius,1989,,F
,Lea Schmidbauer,1971,,F
,Leander Haußmann,1959,,M
 ,Leandro Picarelli,,,M
 ,Lech Kowalski,1951,,M
,Lee Cooper,,,M
,Lee Dixon,1964,,M
,Lee Haven Jones,1976,,M
,Leee Black Childers,1945,2014,M
 ,Leena Yadav,1971,,F
,Leila Hoffman,1934,,F
 ,Leïla Shahid,1949,,F
 ,Lello Arena,1953,,M
,Lena Endre,1955,,F
,Lena Knauss,1984,,F
,Lena Lessing,1960,,F
,Lena May Graf,1987,,F
,Lena Stahl,1979,,F
,Lena Stolze,1956,,F
,Lennart Ruff,1986,,M
,Lenny Abrahamson,1966,,M
,Leo Bassi,1952,,M
,Leo Bud Welch,1932,2017,M
 ,Leo Gullotta,1946,,M
,Leo Harlem,1965,,M
,Leo Leigh,1981,,M
 ,Léo Marchand,,,M
 ,Leonardo D'Agostini,1977,,M
 ,Leonardo Di Costanzo,1958,,M
 ,Leonardo Larocca,,,M
 ,Leonardo Pieraccioni,1965,,M
,Leonie Stade,1988,,F
 ,Leo Wolfenstein,,,M
,León Molina,1959,,M
 ,Léopold Legrand,,,M
,Les Dennis,1954,,M
 ,Lesley Manville,1956,,F
,Lesley Nicol,1953,,F
,Leslie Ash,1960,,F
,Leslie Franke,,,F
,Leslie Malton,1958,,F
 ,Letizia Bellocchio,,,F
 ,Letizia Lamartire,1987,,F
,Levente Harsányi,1970,,M
,Levente Király,1937,2024,M
,Levente Nemes,1939,,M
,Levi Roots,1958,,M
,Levon Minasian,1953,,M
,Lew Hohmann,1944,,M
 ,Lewis Eizykman,,,M
,Lia Pokorny,1971,,F
,Liam Cunningham,1961,,M
 ,Liam Neeson,1952,,M
,Liana Mărgineanu,1941,,F
 ,Liane Foly,1962,,F
,Liberace,1919,1987,M
,Lidewij Edelkoort,1950,,M
,Lidia Falcón,1935,,F
,Ligia Ciornei,,,F
,Lili Horvát,1982,,F
,Lili Monori,1945,,F
 ,Liliana Cavani,1933,,F
,Liliana Pană,1964,,F
,Liliane Rovère,1933,,F
,Lilly Engel,1974,,F
 ,Lina Bernardi,1938,,F
 ,Lina Sastri,1953,,F
,Lina Wendel,1965,,F
,Linal Haft,1945,,M
,Linda Bassett,1950,,F
,Linda Gail Lewis,1947,,F
,Lindsay Duncan,1950,,F
 ,Line Renaud,1928,,F
 ,Lino Capolicchio,1943,2022,M
,Linus de Paoli,1982,,M
,Linus Roache,1964,,M
 ,Lio,1962,,F
 ,Lionel Abelanski,1964,,M
,Lionel Batiste,1931,2012,M
 ,Lionel Rosso,1967,,M
,Lionel Steketee,1964,,M
,Lionel Tua,1962,,M
 ,Lionnel Astier,1953,,M
,Lior Ashkenazi,1968,,M
 ,Lisa Azuelos,1965,,F
,Lisa Barros D'Sa,1974,,F
,Lisa Bierwirth,1983,,F
 ,Lisa Bosi,,,F
,Lisa Bronwyn Moore,1965,,F
,Lisa Eichorn,1952,,F
,Lisa Langseth,1975,,F
 ,Lise Akoka,,,F
 ,Lise Lamétrie,1955,,F
,Lisette Malidor,1944,,F
,Lita Claver,1945,,F
,Liudmyla Smorodina,1957,,F
,Liv Ullmann,1938,,F
 ,Livia Bonifazi,1967,,F
,Livia De Paolis,,,F
,Lívia Révész,1927,,F
,Liviu Dragnea,1962,,M
,Liviu Sandulescu,1972,,M
,Liz Lobato,1967,,F
,Lizzie MacKenzie,,,F
,Ljasuk Dimitry,1978,,M
,Lluís Homar,1957,,M
,Lluís Miñarro,1949,,M
,Lluís Soler,1954,,M
,Llum Quiñonero,1954,,F
 ,Loïc Paillard,,,M
 ,Loïc Pichon,1943,,M
,Lois Patiño,1983,,M
 ,Lokman Slim,1962,2021,M
,Lola Casamayor,1958,,F
,Lola Cordón,,,F
,Lola Moltó,,,F
,Lola Plass,,,F
,Lola Randl,1980,,F
,Loles León,1950,,F
,Lolita Flores,1958,,F
,Lone Fleming,1945,,F
,Lone Scherfig,1959,,F
,Lore Stefanek,1943,,F
 ,Loredana Bertè,1950,,F
 ,Lorenza Garcia,,,F
 ,Lorenza Guerrieri,1944,,F
 ,Lorenza Indovina,1966,,F
,Lorenza Machín,1946,,F
 ,Lorenzo Acquaviva,1968,,M
 ,Lorenzo Adorisio,1962,,M
 ,Lorenzo Bianchini,1970,,M
 ,Lorenzo Borghini,1988,,M
 ,Lorenzo Cherubini Jovanotti,1966,,M
 ,Lorenzo D'Amelio,,,M
 ,Lorenzo d'Amico de Carvalho,1981,,M
 ,Lorenzo Gioielli,1961,,M
 ,Lorenzo Mattotti,1954,,M
 ,Lorenzo Raponi,1986,,M
 ,Lorenzo Rossi Espagnet,1982,,M
,Lorenzo Silva,1966,,M
,Loreta Tovar,1952,,F
 ,Loretta Goggi,1950,,F
 ,Loretta Goggi,1950,,F
 ,Loretta Micheloni,,,F
,Lori Butler,,,F
 ,Loris Loddi,1957,,M
,Lorna Tucker,1981,,F
,Lorraine Ashbourne,1961,,F
,Lorraine Hilton,,,F
,Lothar Herzog,1977,,M
,Lothar König,1954,,M
,Lothar Thiel,1953,,M
 ,Lou Castel,1943,,M
 ,Louda Ben Salah,1988,,M
,Louis Emerick,1960,,M
 ,Louis-Do de Lencquesaing,1963,,M
 ,Louis-Julien Petit,1983,,M
,Louise Godbold,,,F
,Lowell Davis,1939,,M
 ,Louis Garrel,1983,,M
,Louis Myles,,,M
 ,Luca Barbareschi,1956,,M
 ,Luca Barbareschi,1956,,M
,Luca Bercovici,1957,,M
 ,Luca Biglione,,,M
 ,Luca Facchini,1969,,M
 ,Luca Guadagnino,1971,,M
 ,Luca Lucini,1967,,M
 ,Luca Magi,1976,,M
 ,Luca Manfredi,1958,,M
 ,Luca Miniero,1967,,M
 ,Luc-Antoine Diquéro,1956,,M
 ,Luca Rea,1971,,M
,Luca Sabin,1942,,M
 ,Lucas Belvaux,1961,,M
 ,Lucas Bernard,1979,,M
 ,Luca Scivoletto,1979,,M
 ,Lucas Delangle,1987,,M
 ,Luca Toracca,,,M
 ,Luca Tornatore,,,M
 ,Luca Ward,1960,,M
 ,Luca Zingaretti,1961,,M
 ,Luc Besson,1959,,M
 ,Luc Bricault,,,M
,Luc Feit,1962,,M
 ,Luce Mouchel,1963,,F
,Lucero Tena,1938,,F
,Lucia Bosè,1931,2020,F
,Lucia Chiarla,1970,,F
 ,Lucia Guzzardi,1927,,F
 ,Lucia Zanettin,1964,,F
,Lucian Ifrim,1969,,M
,Lucian Pavel,1967,,M
 ,Luciano Curreli,1965,,M
 ,Luciano Ligabue,1960,,M
 ,Luciano Manzalini,1952,,M
 ,Luciano Miele,1959,,M
,Lucica Ciobanu,1954,,F
 ,Lucía Puenzo,1976,,F
 ,Lucia Sardo,1952,,F
,Lucía Tello Díaz,,,F
 ,Lucia Vasini,1955,,F
 ,Lucie Assemat,,,F
 ,Lucie Borleteau,1980,,F
,Lucien Castaing-Taylor,1966,,M
 ,Lucien Jean-Baptiste,1964,,M
 ,Lucienne Hamon,1930,,F
 ,Lucienne Moreau,1933,,F
 ,Lucien Pascal,1906,,M
 ,Lucio Dalla,1943,2012,M
,Lucy Briers,1967,,F
,Lucy Martin,1942,,F
,Ludger Pistor,1959,,M
 ,Luc Merenda,1943,,M
 ,Luc Palun,1961,,M
 ,Ludmila Mikaël,1947,,F
 ,Ludovic Bergery,,,M
 ,Ludovic Bernard,1970,,M
 ,Ludovic Boukherma,1992,,M
 ,Ludovic Cantais,1969,,M
 ,Ludovic Colbeau-Justin,1972,,M
 ,Luigi Ciaravola Gigione,1944,,M
 ,Luigi Cozzi,1947,,M
 ,Luigi D'Alife,1986,,M
 ,Luigi Diberti,1939,,M
 ,Luigi Lo Cascio,1967,,M
,Luis Alegre,1962,,M
,Luis Antonio de Villena,1951,,M
,Luis Arrieta Etxeberría,1983,,M
,Luis Bermejo,1969,,M
,Luis Eduardo Aute,1943,2020,M
,Luis Fernández de Eribe,1949,,M
,Luis Fernández-Jardón,,,M
,Luis Fernando Alvés,1961,,M
,Luis García Montero,1958,,M
,Luís Gibert,,,M
 ,Luis Rego,1943,,M
,Luis Reina,1963,,M
,Luis Tinoco,1978,,M
,Luis Trapiello,,,M
,Luis Varela,1943,,M
,Luis Zahera,1966,,M
,Luis Ziembrowski,1962,,M
,Luisa Cantero,1924,2022,F
 ,Luisa De Santis,1944,,F
,Luisa Gavasa,1951,,F
,Luisa Merelas,1958,,F
 ,Luisa Porrino,,,F
,Luise Kinseher,1969,,F
,Lukas Feigelfeld,1986,,M
,Lukas Lessing,1959,,M
,Lukas Rinker,1986,,M
,Luke Hayden,1960,,M
,Luke Holland,1948,2020,M
,Lulu,1948,,F
 ,Luis Guzmán,1956,,M
,Luis Hostalot,1951,,M
,Luis López Carrasco,1981,,M
,Luís Lucas,1952,,M
,Luis Mancha,,,M
 ,Luís Miguel Cintra,1949,,M
 ,Luis Molteni,1950,2024,M
,Luis Mottola,1968,,M
,"Luis Paz ""Papillo""",1965,,M
,Luis Perezagua,1949,,M
,Luis Posada,1963,,M
 ,Luna Gualano,1980,,F
 ,Lunetta Savino,1957,,F
,Lutz Heineking jr.,1975,,M
,Lutz Kayser,1939,2017,M
,Lutz Pehnert,1961,,M
 ,Lyda Patitucci,1984,,F
 ,Lyèce Boukhitine,1965,,M
,Lynn Hunter,,,F
,Lynn Lowry,1947,,F
,Lynne Ramsay,1969,,F
 ,M'hamed Benguettaf,1939,,M
,Mabel Rivera,1952,,F
 ,Macha Béranger,1941,,F
 ,Macha Méril,1940,,F
,Madeleine Dallmeyer,1980,,F
,Madeline Smith,1949,,F
,Madhav Sharma,1939,,M
,Madonna,1958,,F
,Mads Mikkelsen,1965,,M
,Mael Le Mée,1977,,M
 ,Magali Noël,1931,,F
,Magda Catone,1958,,F
,Magdi Bódy,1953,,F
,Maggie Daniels,,,F
,Maggie Malooly,1927,2021,F
,Maggie O'Neill,1962,,F
,Maggie Peren,1974,,F
 ,Maggie Smith,1934,,F
,Magne Furuholmen,1962,,M
 ,Magüi Mira,1944,,F
 ,Maguy Marin,1951,,F
,Maha Haj,1970,,F
 ,Mohamad Malas,1945,,M
 ,Mahamat-Saleh Haroun,1961,,M
,Mahmoud Jafari,1953,,M
 ,Mai Hua,,,F
,Maia Morgenstern,1962,,F
,Maider Oleaga,1976,,F
 ,Maïmouna Doucouré,1985,,F
 ,Maïwenn,1976,,F
,Majida Ghomari,1959,,F
,Makram Khoury,1945,,M
,Malachi Smyth,,,M
 ,Malcolm McDowell,1943,,M
,Malcolm Sinclair,1950,,M
,Malcolm Storry,1948,,M
,Malte Sieveking,1940,,M
,Malte Wirtz,1979,,M
,Mamen García,1947,,F
,Manel Barceló,1953,,M
,Manel Dueso,1953,,M
 ,Manele Labidi,1982,,F
,Manfred Andrae,1936,2020,M
,Manfred Böll,1944,,M
,Manfred Voltmer,1942,,M
,Manfred Zapatka,1942,,M
,Manfred-Anton Algrang,1965,,M
