person_id,person_name,birth_year,death_year,gender
,Andrea Takáts,1967,,F
 ,André Bonzel,1961,,M
 ,André Chazel,1933,2023,M
 ,André Dussollier,1946,,M
,André Erkau,1968,,M
,André Hennicke,1958,,M
,Andre Hörmann,1975,,M
,André Jung,1953,,M
 ,Andrée Damant,1929,2022,F
 ,Andrée Tainsy,1911,2004,F
,Andrei Cohn,1972,,M
,Andrei Crețulescu,1974,,M
,Andrei Dăscălescu,1984,,M
,Andrei Finți,1952,,M
,Andrei Gruzsniczki,1962,,M
,Andrei Huțuleac,1990,,M
,Andrei Zinca,1955,,M
,Andreja Schneider,1964,,F
,"Andrés ""El Pájaro"" Herrera",1963,,M
,Andres Heger-Bratterud,1985,,M
,Andrés Lima,1961,,M
,Andrés Santana,1949,,M
 ,André Marcon,1948,,M
 ,André Oumansky,1933,,M
 ,André Penvern,1947,,M
,André Robillard,1931,,M
,André Singer,1945,,M
,André Szardenings,1989,,M
 ,Andrés Sanz,1969,,M
,Andrés Trapiello,1953,,M
,Andres Veiel,1959,,M
,Andrew Cryan,,,M
,Andrew Dominik,1967,,M
,Andrew Gaynord,,,M
,Andrew Haigh,1973,,M
 ,André Téchiné,1943,,M
 ,André Wilms,1947,2022,M
 ,Andrew Levitas,1977,,M
,Andrew Loog Oldman,1944,,M
,Andrew Loveday,,,M
,Andrew Masset,1949,,M
,Andrew Peat,,,M
,Andrew Readman,,,M
,Andrew Ridgeley,1963,,M
 ,Andrey Paounov,1974,,M
,Andromeda Godfrey,1968,,F
 ,Andrzej Chyra,1964,,M
 ,Andrzej Seweryn,1946,,M
 ,Andy De Emmony,1964,,M
,Andy de la Tour,1948,,M
 ,Andy Goddard,1968,,M
,Andy Goldsworthy,1956,,M
,Andy Gray,1955,,M
 ,Andy Luotto,1950,,M
,Andy MacKinnon,,,M
,Andy Rashleigh,1949,,M
 ,Andy Townsend,1963,,M
,Ane Gabarain,1963,,F
 ,Anémone,1950,2019,F
,Ángel de la Cruz,1963,,M
,Ángel Delgadillo,1928,,M
,Ángel Gómez Hernández,1988,,M
,Ángel Héctor Sánchez,1958,,M
,Ángel Pardo,1957,,M
 ,Angela Baraldi,1964,,F
,Angela Bassett,1958,,F
,Angéla Császár,1946,,F
,Angela Curran,1948,,F
 ,Angela Finocchiaro,1955,,F
,Ángela López Gamonal,,,F
,Angela Merkel,1954,,F
 ,Ángela Molina,1955,,F
,Ângela Rabello,1950,2023,F
,Angela Roy,1957,,F
,Angela Schanelec,1962,,F
,Angela Winkler,1944,,F
,Ángeles González Sinde,1965,,F
,Ángeles Huerta,1974,,F
,Ángeles Moreno,,,F
 ,Ángeles Reiné,,,F
,Angelika Bender,1948,,F
,Angelika Böttiger,1951,,F
,Angelika Mette,1966,,F
,Angelika Sedlmeier,1964,,F
,Angelika Thomas,1946,,F
,Angelika Waller,1944,,F
 ,Angélique Kidjo,1960,,F
 ,Angelo Antonucci,1970,,M
,Angelo Aybar,1947,,M
 ,Angelo Barbagallo,1958,,M
,Angelo Bison,1957,,M
,Angelo Borer,1957,,M
,Angelo Branduardi,1950,,M
 ,Angelo Di Gennaro,,,M
,Àngels Barceló,1963,,F
,Angus Barnett,1963,,M
,Angus Wright,1964,,M
,Ania Marson,1949,,F
,Aníbal Soto,,,M
,Anica Dobra,1963,,F
,Aniëlle Webster,1977,,F
,Anika Decker,1975,,F
,Anikó Für,1964,,F
 ,Anissa Bonnefont,1984,,F
,Anita Dobson,1949,,F
,Anita Heck,,,F
 ,Anita Zagaria,1954,,F
,Anja Beatrice Kaul,1965,,F
,Anjelica Huston,1951,,F
,Anke Domscheit-Berg,1968,,F
,Anke Engelke,1965,,F
,Anke Sevenich,1959,,F
,Ann Carolin Renninger,1979,,F
,Ann Firbank,1933,,F
,Ann Ladiges,1935,2019,F
,Ann Oren,1976,,F
,Ann Queensberry,1928,,F
 ,Anna Agnelli,,,F
,Anna Azcárate,1961,,F
,Anna Bardorf,1961,,F
,Anna Bofarull,1979,,F
,Anna Bonaiuto,1950,,F
,Anna Brodskaja-Bomke,1962,,F
,Anna Calder-Marshall,1947,,F
,Anna Chancellor,1965,,F
 ,Anna De Nitto,1945,2022,F
 ,Anna Di Francisca,1960,,F
,Anna Fehér,1958,,F
 ,Anna Ferruzzo,1966,,F
 ,Anna Galiena,1954,,F
 ,Anna Gaylor,1932,2021,F
,Anna Györgyi,1967,,F
,Anna Hepp,1977,,F
 ,Anna Karina,1940,,F
,Anna Kubik,1957,,F
,Anna M. Bofarull,1979,,F
 ,Anna Recalde Miranda,,,F
,Anna Roller,1993,,F
,Anna Serner,1964,,F
,Anna Sofie Hartmann,1984,,F
,Anna Stieblich,1965,,F
,Anna Utrecht,,,F
,Anna Werner,1941,,F
,Anna Wintour,1949,,F
,Annamária Albu,1965,,F
,Annamária Babják,1956,,F
,Annamária Bede-Fazekas,1963,,F
,Annarita Zambrano,1972,,F
,Anne Alix,1963,,F
 ,Anna Maria De Luca,1955,,F
 ,Anna Migotto,,,F
,Anna Mottram,1949,,F
,Anna Najder,,,F
,Anna Nemes,1989,,F
,Anna R. Costa,1965,,F
,Anna Ráckevei,1960,,F
 ,Anne Alvaro,1951,,F
,Anne Bennent,1963,,F
 ,Anne Benoît,1959,,F
