year,award,category,film,f/d/a,result,film_id,,,,,,,,,,,,,,,,,,,
2023,CDC,BDF,Les Années Super 8,D,N,FR2022_184,,,,,,,,,,,,,,,,,,,
2023,CDC,BDF,Le Chêne,D,N,,,,,,,,,,,,,,,,,,,,
2023,CDC,BDF,Jane par Charlotte,D,N,FR2022_003,,,,,,,,,,,,,,,,,,,
2023,CDC,BAF,Ma famille afghane,A,A,,,,,,,,,,,,,,,,,,,,
2023,CDC,BAF,Ernest et Célestine : Le Voyage en Charabie,A,N,FR2022_183,,,,,,,,,,,,,,,,,,,
2023,CDC,BAF,Le Petit Nicolas : Qu'est-ce qu'on attend pour être heureux ?,A,N,FR2022_144,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,Illusions perdues,F,A,FR2021_089,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,Aline,F,N,FR2021_103,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,Annette,F,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,BAC Nord,F,N,FR2021_052,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,L'Événement,F,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,La Fracture,F,N,FR2021_095,,,,,,,,,,,,,,,,,,,
2022,CDC,BF,"Onoda, 10 000 nuits dans la jungle",F,N,FR2021_039,,,,,,,,,,,,,,,,,,,
2022,CDC,BDF,La Panthère des neiges,D,A,,,,,,,,,,,,,,,,,,,,
2022,CDC,BDF,Animal,D,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BDF,Bigger Than Us,D,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BDF,Debout les femmes !,D,N,FR2021_082,,,,,,,,,,,,,,,,,,,
2022,CDC,BDF,Indes galantes,D,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BAF,Le Sommet des dieux,A,A,,,,,,,,,,,,,,,,,,,,
2022,CDC,BAF,Même les souris vont au paradis,A,N,,,,,,,,,,,,,,,,,,,,
2022,CDC,BAF,La Traversée,A,N,FR2021_078,,,,,,,,,,,,,,,,,,,
2021,CDC,BF,Adieu les cons,F,A,FR2020_085,,,,,,,,,,,,,,,,,,,
2021,CDC,BF,Adolescentes,D,N,,,,,,,,,,,,,,,,,,,,
2021,CDC,BF,Antoinette dans les Cévennes,F,N,FR2020_066,,,,,,,,,,,,,,,,,,,
2021,CDC,BF,"Les Choses qu'on dit, les choses qu'on fait",F,N,FR2020_067,,,,,,,,,,,,,,,,,,,
2021,CDC,BF,Été 85,F,N,FR2020_045,,,,,,,,,,,,,,,,,,,
2021,CDC,BDF,Adolescentes,D,A,,,,,,,,,,,,,,,,,,,,
