film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2022_012,En los márgenes,ES2022_012_01,Adelfa Calvo,2,F,,WWE,LM,EM,AB,N
ES2022_012,En los márgenes,ES2022_012_02,María Isabel Díaz Lago,2,F,,ILA,LM,EM,AB,N
ES2022_013,Llenos de Gracia,ES2022_013_01,Carmen Machi,2,F,,WWE,MC,EM,AB,N
ES2022_013,Llenos de Gracia,ES2022_013_02,Nuria González,2,F,,WWE,MC,EM,AB,N
ES2022_013,Llenos de Gracia,ES2022_013_03,Manolo Solo,2,M,,WWE,MC,EM,AB,N
ES2022_014,Historias para no contar,ES2022_014_01,José Coronado,3,M,HE,WWE,UM,EM,AB,N
ES2022_014,Historias para no contar,ES2022_014_02,Javier Cámara,2,M,,WWE,UM,EM,AB,N
ES2022_015,Malnazidos,ES2022_015_01,Manuel Morón,3,M,HE,WWE,UM,EM,AB,N
ES2022_015,Malnazidos,ES2022_015_02,Frank Feys,2,M,HE,WWE,UM,EM,AB,N
ES2022_016,Cinco lobitos,ES2022_016_01,Susi Sánchez,3,F,HE,WWE,MC,RE,AB,N
ES2022_016,Cinco lobitos,ES2022_016_02,Ramón Barea,3,M,HE,WWE,MC,RE,AB,N
ES2022_017,Código Emperador,ES2022_017_01,Santi Prego,2,M,,WWE,UM,EM,AB,N
ES2022_017,Código Emperador,ES2022_017_02,Miguel Rellán,4,M,,WWE,UM,EM,AB,N
ES2022_018,Irati,ES2022_018_01,Elena Uriz,4,F,,WWE,MC,SE,AB,N
ES2022_018,Irati,ES2022_018_02,Ramón Agirre,3,M,,WWE,MC,EM,AB,N
ES2022_018,Irati,ES2022_018_03,Patxi Bisquert,3,M,,WWE,UC,RE,AB,N
ES2022_019,13 exorcismos,ES2022_019_01,José Sacristán,4,M,,WWE,MC,EM,AB,N
ES2022_020,Canallas,ES2022_020_01,Esther Álvarez,4,F,HE,WWE,LM,RE,AB,N
ES2022_020,Canallas,ES2022_020_02,"Antonio Durán ""Morris""",3,M,,WWE,UM,SE,AB,N
ES2022_020,Canallas,ES2022_020_03,Luis Zahera,2,M,,WWE,MC,EM,AB,N
ES2022_021,"Camera Café, la película",ES2022_021_01,Esperanza Elipe,2,F,,WWE,MC,EM,AB,N
ES2022_021,"Camera Café, la película",ES2022_021_02,Manuel Galiana,4,M,,WWE,MC,EM,AB,N
ES2022_021,"Camera Café, la película",ES2022_021_03,Karina,4,F,,WWE,MC,SE,AB,N
ES2022_022,El Test,ES2022_022_01,Antonio Resines,3,M,HE,WWE,MC,RE,AB,N
ES2022_023,Pacifiction,ES2022_023_01,Marc Susini,3,M,,WWE,UM,EM,AB,N
ES2022_023,Pacifiction,ES2022_023_02,Sergi López,2,M,,WWE,UM,EM,AB,N
ES2022_023,Pacifiction,ES2022_023_03,Cécile Guilbert,2,F,,WWE,UM,,AB,N
ES2022_024,Reyes contra Santa,ES2022_024_01,Noelia Noto,3,F,,WWE,UC,SE,AB,N
ES2022_024,Reyes contra Santa,ES2022_024_02,Karra Elejalde,3,M,,MEA,UC,SE,AB,N
ES2022_025,"Por los pelos, una historia de autoestima",ES2022_025_01,Leo Harlem,3,M,HE,WWE,MC,,AB,N
ES2022_026,Héroes de barrio,ES2022_026_01,Antonio Dechent,3,M,HE,WWE,LM,SE,AB,N
ES2022_026,Héroes de barrio,ES2022_026_02,Bruto Pomeroy,3,M,,WWE,UM,SE,AB,N
ES2022_028,Cerdita,ES2022_028_01,Carmen Machi,2,F,HE,WWE,LM,SE,AB,N
ES2022_028,Cerdita,ES2022_028_02,Julián Valcárcel,2,M,HE,WWE,LM,SE,AB,N
