film_id,nat_title,film_genre,,,,,,,,,,,,,,,,,,,,,,,
FR2021_079,Gaza mon amour,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_080,Le Kiosque,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_080,Le Kiosque,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_081,Tralala,MUS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_081,Tralala,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_082,Debout les femmes!,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_082,Debout les femmes!,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,BIO,,,,,,,,,,,,,,,,,,,,,,,
FR2021_083,Eiffel,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_084,L'Homme de la cave,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_084,L'Homme de la cave,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,CHI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,ADV,,,,,,,,,,,,,,,,,,,,,,,
FR2021_085,Le Loup et le lion,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_086,"Le Poète illuminé, Germain Nouveau (1851-1920)",DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_087,Le Traducteur,THR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_088,À la vie,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_089,Illusions perdues,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_089,Illusions perdues,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_090,Le Trésor du petit Nicolas,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_090,Le Trésor du petit Nicolas,CHI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_091,Les Héroïques,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_091,Les Héroïques,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_092,"Spectre: Sanity, Madness & the Family",DPE,,,,,,,,,,,,,,,,,,,,,,,
FR2021_093,Tonton Manu,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_093,Tonton Manu,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_094,Tout nous sourit,COM,,,,,,,,,,,,,,,,,,,,,,,
