film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2021_099,My Son,My Son,Christian Carion,THE,03/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_100,Pingouin et Goëland et leurs 500 petits,The Nest,Michel Leclerc,THE,03/11/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_101,Si on chantait,Song Express,Fabrice Maruca,THE,03/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_102,A Good Man,A Good Man,Marie-Castille Mention-Schaar,THE,10/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_103,Aline,"Aline, the Voice of Love",Valérie Lemercier,THE,10/11/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_104,Entre deux trains,Long Time No See,Pierre Filmon,THE,10/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_105,Haute Couture,Haute Couture,Sylvie Ohayon,THE,10/11/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_106,Marcher sur l'eau,Above Water,Aïssa Maïga,THE,10/11/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_107,Partir?,,Mary-Noël Niba,THE,10/11/2021,D,NO,,,,,,,,,,,,,,,,,,
FR2021_108,Les Bodin's en Thaïlande,The Bodin's in the Land of Smile,Frédéric Forestier,THE,17/11/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_109,On est fait pour s'entendre,Hear Me Out,Pascal Elbé,THE,17/11/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_110,Oranges sanguines,Bloody Oranges,Jean-Christophe Meurisse,THE,17/11/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_111,Retourner à Sölöz,Back to Sölöz,Serge Avedikian,THE,17/11/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_112,Bolante baten historia,Story of a Steering Wheel,"Iñaki Alforja, Iban Toledo",THE,19/11/2021,D,YES,,,,,,,,,,,,,,,,,,
FR2021_113,De son vivant,Peaceful,Emmanuelle Bercot,THE,24/11/2021,F,YES,,,,,,,,,,,,,,,,,,
