person_id,person_name,person_nat,,,,,,,,,,,,,,,,,,,,,,,
TBD,Benoît Jacquot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Benoît Poelvoorde,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernadette Lafont,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernadette Le Saché,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Bloch,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Campan,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Farcy,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Fresson,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Giraudeau,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Le Coq,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Murat,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Ménez,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Stora,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard Verley,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bernard-Pierre Donnadieu,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bertrand Mandico,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bill Pullman,US,,,,,,,,,,,,,,,,,,,,,,,
TBD,Biyouna,DZ,,,,,,,,,,,,,,,,,,,,,,,
TBD,Blandine Lenoir,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bojena Horackova,CZ,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bouli Lanners,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Brenda Blethyn,UK,,,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Catillon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Fossey,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Roüan,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Brigitte Sy,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruce Dern,US,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Chiche,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Cremer,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Cremer,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Ganz,CH,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Lochet,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Moynot,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Podalydès,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Podalydès,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Bruno Raffaeli,FR,,,,,,,,,,,,,,,,,,,,,,,
