person_id,person_name,birth_year,death_year,gender,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Ferran,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Frot,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Hiegel,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Hosmalin,1960,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Jacob,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Mouchet,1959,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Rouvel,1939,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Salviat,1947,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Catherine Samie,1933,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Ladesou,1948,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Lauby,1948,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Chantal Neuwirth,1948,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Aznavour,1924,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Berling,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Charles Dance,1946,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Charline Bourgeois-Tacquet,1986,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte de Turckheim,1955,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte Gainsbourg,1971,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Charlotte Rampling,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Chloé Mazlo,1983,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Chris Lomme,1938,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Bouillette,1937,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Bujeau,1944,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Carion,1963,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Clavier,1952,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Duguay,1957,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Hecq,1964,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Monnier,1968,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Morin,1945,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Philibert,1965,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christian Vadim,1963,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christine Boisson,1956,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Barratier,1963,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Duthuron,1973,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Honoré,1970,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Lambert,1957,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Malavoy,1952,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Offenstein,1962,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christophe Tardy,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christopher Lee,1922,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Christopher Thompson,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Denis,1946,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Maurier,1929,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Nadeau,1945,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claire Simon,1955,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Aufaure,1942,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Brasseur,1936,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Brosset,1943,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Gensac,1927,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Lelouch,1937,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Miller,1942,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Perron,1966,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Rich,1929,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Sarraute,1927,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Saussereau,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claude Zidi Jr.,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Claudia Cardinale,1938,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Claus Drexel,1968,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Clotilde Courau,1969,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Clovis Cornillac,1968,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Clémence Madeleine-Perdrillat,1988,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Clémence Massart,1943,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Clémentine Célarié,1957,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Constance Meyer,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Corentin Doucet,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Corentin Massiot,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Corinne Marchand,1931,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Corinne Masiero,1964,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Cécile Ducrocq,1973,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Jimenez,1976,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Kahn,1966,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Cédric Klapisch,1961,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Céline Devaux,1987,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Damien Manivel,1981,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Auteuil,1950,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Ceccaldi,1927,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Duval,1944,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Emilfork,1924,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Daniel Martin,?,,M,,,,,,,,,,,,,,,,,,,,,
