film_id,nat_title,person_id,person_name,role_class,,,,,,,,,,,,,,,,,,,,,
FR2021_041,Les Sorcières de l&apos;Orient,TBD,Julien Faraut,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,TBD,Jean-Pierre Améris,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,TBD,Benoît Poelvoorde,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_043,Le Tour du monde en 80 jours,TBD,Samuel Tourneux,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_044,De bas étage,TBD,Yassine Qnia,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_044,De bas étage,TBD,Tassadit Mandi,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,TBD,Baptiste Drapeau,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,TBD,Jacqueline Bisset,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Nicolas Bedos,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Wladimir Yordanoff,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Gilles Cohen,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Habib Dembélé,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Ivan Franěk,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Emil Abossolo-Mbo,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_046,OSS 117: Alerte rouge en Afrique noire,TBD,Brice Fournier,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_047,C&apos;est quoi ce papy?!,TBD,Gabriel Julien-Laferrière,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_047,C&apos;est quoi ce papy?!,TBD,Chantal Ladesou,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_047,C&apos;est quoi ce papy?!,TBD,Patrick Chesnais,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,TBD,Danielle Arbid,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_048,Passion simple,TBD,Slimane Dazi,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_049,Pil,TBD,Julien Fournet,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,TBD,Farid Bentoumi,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,TBD,Sami Bouajila,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_050,Rouge,TBD,Olivier Gourmet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,TBD,Benjamin Euvrard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_051,Attention au départ,TBD,André Dussollier,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,TBD,Cédric Jimenez,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_052,BAC Nord,TBD,Jean-Yves Berteloot,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,David Foenkinos,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Stéphane Foenkinos,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Karin Viard,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Carole Bouquet,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Monica Bellucci,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Denis Podalydès,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Christiane Millet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Alain Doutey,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Jackie Berroyer,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_053,Les Fantasmes,TBD,Anne Benoît,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,TBD,Hubert Viel,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,TBD,Olivier Saladin,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_054,Louloute,TBD,Sylvie Gravagna,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,TBD,Emma Benestan,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_055,Fragile,TBD,Tassadit Mandi,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,TBD,Naël Marandin,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,TBD,Olivier Gourmet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,TBD,Bruno Raffaelli,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_056,La Terre des hommes,TBD,Samuel Churin,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_057,Gogo,TBD,Pascal Plisson,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,TBD,Amos Gitai,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,TBD,Makram Khoury,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,TBD,Hana Laszlo,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_058,Laila in Haifa,TBD,Andrzej Seweryn,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_059,"Le Fils de l&apos;épicière, le maire, le village et le monde",TBD,Claire Simon,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,TBD,Emmanuel Courcol,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_060,Un triomphe,TBD,Kad Merad,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,TBD,Yann Gozlan,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,TBD,André Dussollier,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,TBD,Olivier Rabourdin,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,TBD,Aurélien Recoing,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_061,Boîte noire,TBD,André Marcon,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,TBD,Éric Besnard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,TBD,Christian Bouillette,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,TBD,Gilles Privat,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_062,Délicieux,TBD,Christophe Rossignon,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_063,La Nuit des rois,TBD,Philippe Lacôte,DIR,,,,,,,,,,,,,,,,,,,,,
