film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,,,,,,,,,,,,,,,
IT2021_060,Gianni Schicchi,IT2021_060_01,Roberto Frontali,2,M,HE,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_061,The girl in the fountain,IT2021_061_01,Monica Bellucci,2,F,HE,WWE,UM,EM,AB,,,,,,,,,,,,,,,
IT2021_067,Din don - un paese in due,IT2021_067_01,Enzo Salvi,2,M,HE,WWE,LM,EM,AB,,,,,,,,,,,,,,,
IT2021_067,Din don - un paese in due,IT2021_067_02,Maurizio Mattioli,3,M, ,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_068,Chi ha incastrato Babbo Natale?,IT2021_068_01,Christian De Sica,4,M, ,WWE, ,SE,AB,,,,,,,,,,,,,,,
IT2021_070,La sorpresa - l'eccezionale storia di Padre Marella,IT2021_070_01,Stefano Abbati,3,M, ,WWE,LM,EM,AB,,,,,,,,,,,,,,,
IT2021_073,8 donne e un mistero,IT2021_073_01,Margherita Buy,2,F,BI,WWE,UM,UN,AB,,,,,,,,,,,,,,,
IT2021_074,La Befana vien di notte: le origini,IT2021_074_01,Monica Bellucci,4,F, ,WWE,LC, ,AB,,,,,,,,,,,,,,,
IT2021_075,"L'acqua, l'insegna la sete",IT2021_075_01,Gianclaudio Lopez,4,M,,WWE,MC,RE,AB,,,,,,,,,,,,,,,
IT2021_076,The book of vision,IT2021_076_01,Charles Dance,4,M,,WWE,MC,SE,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,FR2021_002_01,Emmanuelle Béart,2,F,HE,WWE,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,FR2021_008_01,Michèle Laroque,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,FR2021_009_01,Gérard Depardieu,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,FR2021_009_02,Catherine Frot,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,FR2021_009_03,Jean-Pierre Darroussin,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,FR2021_011_01,Niels Arestrup,3,M,HO,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,FR2021_011_02,Patrick Bruel,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,FR2021_018_01,Denis Podalydès,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,FR2021_020_01,Josiane Balasko,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,FR2021_024_01,Karin Viard,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,FR2021_025_01,Catherine Frot,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,FR2021_026_01,Franck Dubosc,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,FR2021_028_01,Isabelle Adjani,2,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,FR2021_033_01,Tim Roth,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,FR2021_035_01,Christian Clavier,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,FR2021_035_01,Benoît Poelvoorde,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_036,Titane,FR2021_036_01,Vincent Lindon,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",FR2021_039_01,Kanji Tsuda,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_039,"Onoda, 10 000 nuits dans la jungle",FR2021_039_02,Tetsuya Chiba,3,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_040,C'est la vie,FR2021_040_01,Josiane Balasko,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_042,Profession du père,FR2021_042_01,Benoît Poelvoorde,2,M,HE,,,,,,,,,,,,,,,,,,,
FR2021_045,Messe basse,FR2021_045_01,Jacqueline Bisset,3,F,HE,,,,,,,,,,,,,,,,,,,
FR2021_047,C'est quoi ce papy?!,FR2021_047_01,Chantal Ladesou,3,F,HE,,,,,,,,,,,,,,,,,,,
