id,type,slug,name,birthYear,deathYear,nationality,gender,character,director
Adina Popescu,Person,adina-popescu,Adina Popescu,1978,0,Romania,Female identifying,,"[{'filmType': 'Documentary', 'genre': 'Sports Film', 'id': 'RO2022_037', 'production': {'country': 'Romania', 'share': 'Majority coproducer'}, 'release': {'type': 'First festival screening', 'year': 1905}, 'slug': 'ro2022-037-vulturii-din-taga', 'tags': 'regional identity', 'title': {'english': 'Eagles from Ţaga', 'native': 'Vulturii din Ţaga'}}]"
Adolfo Assor,Person,adolfo-assor,Adolfo Assor,1945,0,Chile,Male identifying,,
Adolfo Dufour,Person,adolfo-dufour,Adolfo Dufour,0,0,Spain,Male identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Performative mode', 'id': 'ES2018_058', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'es2018-058-lo-posible-y-lo-necesario', 'tags': 'state institutions', 'title': {'english': '', 'native': 'Lo posible y lo necesario'}}]"
Adolfo Margiotta,Person,adolfo-margiotta,Adolfo Margiotta,1957,0,Italy,Male identifying,,
Adolpha van Meerhaeghe,Person,adolpha-van-meerhaeghe,Adolpha van Meerhaeghe,1948,0,France,Female identifying,,
Adria Garcia,Person,adria-garcia,Adria Garcia,1978,0,Spain,Male identifying,,"[{'filmType': 'Fiction film', 'genre': ""Children's Film"", 'id': 'FR2019_142', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'fr2019-142-ma-famille-et-le-loup', 'tags': 'parenthood', 'title': {'english': 'My Family and the Wolf', 'native': 'Ma famille et le loup'}}]"
Adrian Belew,Person,adrian-belew,Adrian Belew,1949,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Adrian Ciobanu,Person,adrian-ciobanu,Adrian Ciobanu,1961,0,Romania,Male identifying,,
Adrian Dunbar,Person,adrian-dunbar,Adrian Dunbar,1958,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,"[{'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Historical film (Heritage Film)', 'id': 'GB2022_010', 'production': {'country': 'United States of America (the)', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'gb2022-010-emily', 'tags': 'gender discrimination', 'title': {'english': '', 'native': 'Emily'}}, 'gender': 'Male identifying', 'id': 'GB2022_010_01', 'origin': 'White Western European', 'profession': 'Self-employed', 'role': 'Unknown', 'sexuality': 'Heterosexual'}]",
Adrian Edmondson,Person,adrian-edmondson,Adrian Edmondson,1957,0,Unknown,Male identifying,,
Adrian Enache,Person,adrian-enache,Adrian Enache,1966,0,Romania,Male identifying,,
Adrian Frieling,Person,adrian-frieling,Adrian Frieling,1961,0,Germany,Male identifying,,
Adrian Goiginger,Person,adrian-goiginger,Adrian Goiginger,1991,0,Austria,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'War Film', 'id': 'DE2023_042', 'production': {'country': 'Austria', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2023}, 'slug': 'de2023-042-der-fuchs', 'tags': 'war', 'title': {'english': 'The Fox', 'native': 'Der Fuchs'}}]"
Adrian Hood,Person,adrian-hood,Adrian Hood,1968,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Adrian Lester,Person,adrian-lester,Adrian Lester,1968,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Adrian McLoughlin,Person,adrian-mcloughlin,Adrian McLoughlin,1947,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
